      Aerinite
      Rius J, Elkaim E, Torrelles X
      European Journal of Mineralogy 16 (2004) 127-134
      Structure determination of the blue mineral pigment aerinite from
      synchrotron powder diffraction data: The solution of an old riddle
      Locality: Camporrells-Estopanya area, Huesca, Spain
      _database_code_amcsd 0007027
      CELL PARAMETERS:  16.8820 16.8820  5.2251   90.000   90.000  120.000
      SPACE GROUP: P3c1      
      X-RAY WAVELENGTH:     1.790290
      Cell Volume:   1289.653
      Density (g/cm3):      2.545
      MAX. ABS. INTENSITY / VOLUME**2:      17.40487563    
      RIR:      3.193
      RIR based on corundum from Acta Crystallographica A38 (1982) 733-739
               2-THETA      INTENSITY    D-SPACING   H   K   L   Multiplicity
                 7.02        100.00       14.6202    1   0   0         3
                21.17          4.36        4.8734    3   0   0         3
                25.51         16.56        4.0549    3   1   0         6
                27.27         16.04        3.7966    1   2   1         6
                28.35         14.38        3.6551    4   0   0         3
                31.64          9.31        3.2832    2   2   1         6
                32.45          4.03        3.2034    3   1   1         6
                32.45          5.12        3.2034    1   3   1         6
                32.59          6.08        3.1904    4   1   0         6
                35.65          2.59        2.9240    5   0   0         3
                37.10          5.99        2.8137    3   3   0         6
                38.38          5.54        2.7229    1   4   1         6
                38.38         26.98        2.7229    4   1   1         6
                39.86          3.42        2.6259    5   1   0         6
                40.74          6.26        2.5718    0   1   2         3
                42.04          1.35        2.4957    1   1   2         6
                43.00          2.81        2.4425    4   2   1         6
                43.73          1.83        2.4036    4   3   0         6
                44.54          3.48        2.3619    1   2   2         6
                44.54          1.14        2.3619    2   1   2         6
                44.86          2.40        2.3463    5   1   1         6
                45.75          1.12        2.3026    0   3   2         3
                45.75          1.98        2.3026    3   0   2         3
                48.11          3.02        2.1962    1   3   2         6
                49.54          6.60        2.1365    2   5   1         6
                49.82          1.34        2.1254    0   4   2         3
                51.48          2.16        2.0611    3   2   2         6
                51.76          1.64        2.0507    6   1   1         6
                52.57          3.94        2.0213    4   1   2         6
                54.45          1.75        1.9567    4   4   1         6
                54.98          1.37        1.9394    5   3   1         6
                55.75          2.71        1.9145    3   3   2         6
                57.81          1.85        1.8520    5   1   2         6
                58.66          3.00        1.8275    8   0   0         3
================================================================================
       XPOW Copyright 1993 Bob Downs, Ranjini Swaminathan and Kurt Bartelmehs
  For reference, see Downs et al. (1993) American Mineralogist 78, 1104-1107.
