      Aklimaite
      Zubkova N V, Pekov I V, Pushcharovsky D Y, Zadov A E, Chukanov N V
      Zeitschrift fur Kristallographie 227 (2012) 452-455
      The crystal structure of aklimaite, Ca4[Si2O5(OH)2](OH)4*5H2O
      Locality: Mount Lakargi in KabardinoBalkaria, North Caucasus, Russia
      _database_code_amcsd 0019808
      CELL PARAMETERS:  16.9070  3.6528 13.0680   90.000  117.250   90.000
      SPACE GROUP: C2/m      
      X-RAY WAVELENGTH:     1.790290
      Cell Volume:    717.483
      Density (g/cm3):      2.283
      MAX. ABS. INTENSITY / VOLUME**2:      10.42258093    
      RIR:      2.131
      RIR based on corundum from Acta Crystallographica A38 (1982) 733-739
               2-THETA      INTENSITY    D-SPACING   H   K   L   Multiplicity
                 8.84        100.00       11.6177    0   0   1         2
                12.43          8.02        8.2687   -2   0   1         2
                17.73          1.32        5.8088    0   0   2         2
                19.45          1.62        5.2998    2   0   1         2
                23.77          8.52        4.3469   -2   0   3         2
                24.74          2.58        4.1792   -4   0   1         2
                25.01          2.30        4.1343   -4   0   2         2
                27.06          8.31        3.8259    2   0   2         2
                28.30          4.61        3.6619   -4   0   3         2
                29.62          8.32        3.5020   -1   1   1         4
                32.64          2.92        3.1859   -1   1   2         4
                33.80          9.21        3.0793   -4   0   4         2
                33.96         25.09        3.0648   -3   1   1         4
                35.02          1.10        2.9754   -3   1   2         4
                35.31         29.86        2.9516    3   1   0         4
                35.48         15.87        2.9380    2   0   3         2
                35.90          2.90        2.9044    0   0   4         2
                36.05          4.98        2.8928    1   1   2         4
                37.06          8.17        2.8166   -6   0   2         2
                37.90          3.27        2.7562   -6   0   3         2
                38.30          1.90        2.7291   -3   1   3         4
                38.45          3.33        2.7187   -6   0   1         2
                38.83          2.62        2.6926    3   1   1         4
                40.64          2.03        2.5778   -2   0   5         2
                40.73          9.16        2.5720   -4   0   5         2
                42.34          2.03        2.4784   -5   1   2         4
                42.89          2.52        2.4486   -5   1   1         4
                43.37          3.01        2.4225   -3   1   4         4
                44.24          2.66        2.3773   -1   1   4         4
                45.32          2.98        2.3235    0   0   5         2
                45.37         13.51        2.3212    5   1   0         4
                47.25          1.25        2.2336    4   0   3         2
                48.64          1.38        2.1735   -4   0   6         2
                49.56          1.07        2.1357    5   1   1         4
                49.83          5.13        2.1248   -2   0   6         2
                51.83          4.37        2.0482   -1   1   5         4
                52.99          3.54        2.0065   -7   1   3         4
                53.79          1.02        1.9788    2   0   5         2
                54.71          7.71        1.9479   -7   1   4         4
                55.18          8.70        1.9328    5   1   2         4
                57.73          2.78        1.8543    1   1   5         4
                58.02          1.85        1.8458   -7   1   5         4
                58.18          4.18        1.8411   -5   1   6         4
                58.32          2.58        1.8372    3   1   4         4
                58.70         10.30        1.8264    0   2   0         2
                59.49          1.20        1.8042    0   2   1         4
================================================================================
       XPOW Copyright 1993 Bob Downs, Ranjini Swaminathan and Kurt Bartelmehs
  For reference, see Downs et al. (1993) American Mineralogist 78, 1104-1107.
