      Ardealite
      Sakae T, Nagata H, Sudo T
      American Mineralogist 63 (1978) 520-527
      The crystal structure of synthetic calcium phosphate - sulfate hydrate,
      Ca2HPO4SO4.4H2O, and its relation to brushite and gypsum
      _database_code_amcsd 0000666
      CELL PARAMETERS:   5.7210 30.9920  6.2500   90.000  117.260   90.000
      SPACE GROUP: Cc        
      X-RAY WAVELENGTH:     1.790290
      Cell Volume:    985.083
      Density (g/cm3):      2.372
      MAX. ABS. INTENSITY / VOLUME**2:      7.074893507    
      RIR:      1.392
      RIR based on corundum from Acta Crystallographica A38 (1982) 733-739
               2-THETA      INTENSITY    D-SPACING   H   K   L   Multiplicity
                13.27        100.00        7.7480    0   4   0         2
                20.54          2.12        5.0201   -1   1   1         2
                20.55          2.17        5.0185    1   1   0         2
                22.62         19.23        4.5639   -1   3   1         2
                22.63         19.69        4.5627    1   3   0         2
                26.32         25.74        3.9324   -1   5   1         2
                26.32         25.73        3.9316    1   5   0         2
                26.72         13.92        3.8740    0   8   0         2
                27.37          1.22        3.7830    0   6   1         2
                31.09         28.88        3.3397   -1   7   1         2
                31.10         29.28        3.3393    1   7   0         2
                33.63          6.50        3.0942   -1   1   2         2
                33.64          6.35        3.0931    1   1   1         2
                34.99         12.92        2.9777   -1   3   2         2
                35.00         11.63        2.9768    1   3   1         2
                36.59         25.84        2.8517   -1   9   1         2
                36.59         25.54        2.8514    1   9   0         2
                37.11         18.21        2.8130   -2   2   1         2
                37.57          9.18        2.7795   -1   5   2         2
                37.58          9.60        2.7787    1   5   1         2
                38.22         14.33        2.7343    0   2   2         2
                38.63          1.04        2.7066    0  10   1         2
                40.04          9.61        2.6149    0   4   2         2
                41.19          3.02        2.5447   -1   7   2         2
                41.20          2.97        2.5441    1   7   1         2
                41.21          4.09        2.5436   -2   0   2         1
                41.22          5.00        2.5428    2   0   0         1
                41.79          3.80        2.5100   -2   2   2         2
                41.80          4.08        2.5092    2   2   0         2
                41.92          2.23        2.5024   -2   6   1         2
                42.92         29.86        2.4466    0   6   2         2
                43.48          1.63        2.4167   -2   4   2         2
                43.49          1.27        2.4160    2   4   0         2
                45.64          3.75        2.3079   -1   9   2         2
                45.65          3.45        2.3075    1   9   1         2
                46.19          2.50        2.2819   -2   6   2         2
                46.20          2.98        2.2814    2   6   0         2
                49.00          1.80        2.1587   -1  13   1         2
                49.00          1.17        2.1586    1  13   0         2
                49.79          3.77        2.1263   -2   8   2         2
                49.81          4.30        2.1258    2   8   0         2
                50.41         12.62        2.1020   -2  10   1         2
                50.77          2.76        2.0879   -1  11   2         2
                50.78          2.56        2.0876    1  11   1         2
                51.28          7.39        2.0686    0  10   2         2
                52.29          5.19        2.0314   -1   3   3         2
                52.31          4.68        2.0308    1   3   2         2
                53.85          2.32        1.9769   -2   2   3         2
                53.87          1.85        1.9762    2   2   1         2
                54.16          4.54        1.9662   -2  10   2         2
                54.18          4.39        1.9658    2  10   0         2
                55.05          3.37        1.9370    0  16   0         2
                55.25          5.34        1.9304   -2   4   3         2
                55.28          5.71        1.9297    2   4   1         2
                56.49          4.43        1.8915    0  12   2         2
                56.98          2.35        1.8765   -1   7   3         2
                57.00          2.89        1.8761    1   7   2         2
                58.60          1.56        1.8290    0  16   1         2
                59.20          9.29        1.8123   -2  12   2         2
                59.21          9.05        1.8120    2  12   0         2
================================================================================
       XPOW Copyright 1993 Bob Downs, Ranjini Swaminathan and Kurt Bartelmehs
  For reference, see Downs et al. (1993) American Mineralogist 78, 1104-1107.
