      Babingtonite
      Kosoi A L
      Kristallografiya 20 (1975) 730-739
      Structure of babingtonite
      _database_code_amcsd 0018477
      CELL PARAMETERS:  12.1800  6.6800  7.5000   93.980  112.320   86.050
      SPACE GROUP: P1        
      X-RAY WAVELENGTH:     1.790290
      Cell Volume:    562.539
      Density (g/cm3):      3.378
      MAX. ABS. INTENSITY / VOLUME**2:      5.393931082    
      RIR:      0.745
      RIR based on corundum from Acta Crystallographica A38 (1982) 733-739
               2-THETA      INTENSITY    D-SPACING   H   K   L   Multiplicity
                 9.12         44.93       11.2555    1   0   0         1
                14.19          2.17        7.2448   -1   0   1         1
                14.84         30.77        6.9305    0   0   1         1
                15.46         36.73        6.6568    0   1   0         1
                17.61          1.64        5.8490    1   1   0         1
                18.30          4.37        5.6277    2   0   0         1
                18.74          2.05        5.4988   -2   0   1         1
                20.19          4.04        5.1059   -1  -1   1         1
                20.20          2.39        5.1048    1   0   1         1
                21.86          7.01        4.7203   -1   1   1         1
                22.00          5.26        4.6923    0   1   1         1
                23.36         16.33        4.4217   -2  -1   1         1
                23.48          1.11        4.3988    2   1   0         1
                24.59          2.10        4.2033   -2   1   0         1
                25.36          3.91        4.0780   -2   1   1         1
                25.36         22.33        4.0777    1  -1   1         1
                25.94          6.32        3.9879   -3   0   1         1
                27.61          4.45        3.7518    3   0   0         1
                27.74          7.95        3.7342    2   0   1         1
                27.77          5.45        3.7306   -1   0   2         1
                29.28          2.28        3.5416   -3  -1   1         1
                29.94         22.14        3.4652    0   0   2         1
                31.00          4.01        3.3497   -1  -1   2         1
                31.14          3.01        3.3348    3   1   0         1
                31.20          8.07        3.3284    0   2   0         1
                31.36          1.40        3.3119   -3   1   1         1
                31.55          6.18        3.2924   -2  -1   2         1
                31.83          4.23        3.2642    2   1   1         1
                31.98          2.02        3.2494    2  -1   1         1
                32.27          2.09        3.2215   -3   0   2         1
                32.43          1.41        3.2059   -3   1   0         1
                32.84          3.87        3.1669   -1   1   2         1
                32.99          5.27        3.1525   -1   2   0         1
                33.36         63.85        3.1190   -1  -2   1         1
                34.06          7.60        3.0568    0  -2   1         1
                34.29          5.03        3.0363   -4   0   1         1
                34.53         51.52        3.0164    0   1   2         1
                35.24         41.74        2.9571   -2  -2   1         1
                35.37         48.32        2.9469    0   2   1         1
                35.48          2.61        2.9381   -1   2   1         1
                35.65         10.11        2.9245    2   2   0         1
                36.26         92.03        2.8766    3   0   1         1
                37.10          3.17        2.8139    4   0   0         1
                37.69          3.35        2.7711    1  -1   2         1
                37.70          2.09        2.7709    1   2   1         1
                38.00         93.00        2.7494   -4   0   2         1
                38.01          7.00        2.7491   -2   2   1         1
                38.54          3.14        2.7127    1   1   2         1
                39.39          1.79        2.6560    3   1   1         1
                39.71          3.52        2.6358    4   1   0         1
                39.87         27.60        2.6255    3  -1   1         1
                39.98          3.50        2.6183   -4  -1   2         1
                40.79         18.50        2.5689   -1  -2   2         1
                41.05          4.45        2.5530   -2  -2   2         1
                41.06          1.94        2.5524    2   0   2         1
                42.10         12.99        2.4923   -2   0   3         1
                42.49          3.16        2.4705   -4   1   2         1
                42.59         35.56        2.4649   -3   2   1         1
                42.82         19.07        2.4523   -1   0   3         1
                43.98          1.68        2.3905   -2  -1   3         1
                44.58          1.06        2.3602   -2   2   2         1
                44.86          2.04        2.3462    0   2   2         1
                45.16          5.38        2.3312   -5   0   2         1
                45.19          1.14        2.3297   -5  -1   1         1
                46.20          3.73        2.2815   -2   1   3         1
                46.91         18.68        2.2488   -4   0   3         1
                47.27          2.24        2.2327   -5   1   1         1
                47.77          1.06        2.2108   -4  -2   2         1
                47.87          1.10        2.2063    4   1   1         1
                48.03         19.41        2.1994    4   2   0         1
                48.10         11.88        2.1963    1   3   0         1
                48.35          2.31        2.1858   -4  -1   3         1
                48.58          1.56        2.1759    4  -1   1         1
                48.72         17.68        2.1704    3   0   2         1
                48.73         20.66        2.1700   -1  -3   1         1
                48.98          2.27        2.1595    3  -2   1         1
                49.01          2.90        2.1582   -1   3   0         1
                49.26          4.72        2.1477   -5   1   2         1
                49.98          1.17        2.1191   -2  -3   1         1
                50.16          4.20        2.1117    1   0   3         1
                50.52          3.21        2.0975    2   3   0         1
                51.00         13.53        2.0792   -4   1   3         1
                51.37          1.65        2.0651    3  -1   2         1
                51.46         12.27        2.0619    3   1   2         1
                52.09          3.62        2.0389    2  -2   2         1
                52.24          8.70        2.0332   -1  -2   3         1
                53.62          1.04        1.9848   -5  -2   2         1
                54.21          4.13        1.9647   -1  -3   2         1
                54.33          2.13        1.9605   -6  -1   1         1
                55.83          2.49        1.9120    2   3   1         1
                55.95          1.23        1.9083   -5   1   3         1
                56.03          4.49        1.9059    5   2   0         1
                56.11          1.11        1.9031    2  -3   1         1
                56.16          1.17        1.9018   -5   2   1         1
                56.69          2.47        1.8854   -3   2   3         1
                56.74          2.46        1.8838    4  -2   1         1
                56.89          3.00        1.8793   -3   3   1         1
                57.08          1.48        1.8735    5   1   1         1
                57.72          1.24        1.8547   -4  -3   1         1
                58.15          1.64        1.8421   -5   2   2         1
                58.47          1.02        1.8329   -6   0   3         1
                58.57          1.21        1.8301    0   3   2         1
                58.91          2.31        1.8203    3  -2   2         1
                59.07          2.24        1.8158    3   2   2         1
                59.23          2.71        1.8113    1  -2   3         1
                59.27          5.98        1.8104    1  -3   2         1
                59.32          4.09        1.8090   -5  -2   3         1
                59.62          3.30        1.8006   -4  -3   2         1
                59.79          3.83        1.7959   -4   2   3         1
                59.82          1.32        1.7952    4  -1   2         1
================================================================================
       XPOW Copyright 1993 Bob Downs, Ranjini Swaminathan and Kurt Bartelmehs
  For reference, see Downs et al. (1993) American Mineralogist 78, 1104-1107.
