      Chamosite
      Walker J R, Bish D L
      Clays and Clay Minerals 40 (1992) 319-322
      Application of Rietveld refinement techniques to a disordered IIb Mg-chamosite
      Locality: Lebanon, New Hampshire, USA
      _database_code_amcsd 0012235
      CELL PARAMETERS:   5.3698  9.3031 14.2610   90.315   97.234   90.022
      SPACE GROUP: C-1       
      X-RAY WAVELENGTH:     1.790290
      Cell Volume:    706.740
      Density (g/cm3):      2.945
      MAX. ABS. INTENSITY / VOLUME**2:      10.25147881    
      RIR:      1.625
      RIR based on corundum from Acta Crystallographica A38 (1982) 733-739
               2-THETA      INTENSITY    D-SPACING   H   K   L   Multiplicity
                 7.26         62.73       14.1473    0   0   1         2
                14.54        100.00        7.0736    0   0   2         2
                21.88         24.40        4.7158    0   0   3         2
                22.32         12.93        4.6250   -1   1   0         2
                22.34          6.96        4.6207    1   1   0         2
                22.72          9.46        4.5451   -1  -1   1         2
                22.74          1.43        4.5413   -1   1   1         2
                23.34         10.92        4.4261    0  -2   1         2
                23.41          2.44        4.4115    0   2   1         2
                24.24          3.31        4.2639    1  -1   1         2
                25.33          2.72        4.0835   -1  -1   2         2
                25.38          4.77        4.0750   -1   1   2         2
                26.70          6.04        3.8765    0   2   2         2
                28.12          6.05        3.6841    1   1   2         2
                29.32         54.88        3.5368    0   0   4         2
                29.62          3.23        3.5023   -1  -1   3         2
                31.28          2.22        3.3209    0  -2   3         2
                33.14          3.13        3.1390    1  -1   3         2
                35.13          2.47        2.9661   -1   1   4         2
                36.89          8.94        2.8295    0   0   5         2
                36.97          1.73        2.8230    0  -2   4         2
                37.18          1.43        2.8078    0   2   4         2
                39.01          1.40        2.6812   -1   3   0         2
                39.04          1.21        2.6787    1   3   0         2
                39.21          1.04        2.6680    1   1   4         2
                39.25          1.57        2.6654   -1  -3   1         2
                39.28          1.54        2.6630   -1   3   1         2
                40.17         15.37        2.6066    1  -3   1         2
                40.23         14.17        2.6031   -2   0   2         2
                40.28         13.04        2.5998    1   3   1         2
                40.87          9.33        2.5636   -1  -3   2         2
                40.94          8.18        2.5596    2   0   1         2
                40.98          9.33        2.5573   -1   3   2         2
                41.22          2.46        2.5432   -1  -1   5         2
                42.68          9.66        2.4599    1  -3   2         2
                42.76          9.37        2.4553   -2   0   3         2
                42.85          8.60        2.4504    1   3   2         2
                43.79          9.44        2.4005   -1  -3   3         2
                43.89         11.66        2.3952    2   0   2         2
                43.96         10.34        2.3918   -1   3   3         2
                46.36          7.55        2.2743    1  -3   3         2
                46.46          7.22        2.2694   -2   0   4         2
                46.58          7.53        2.2639    1   3   3         2
                51.01          1.02        2.0789    1  -3   4         2
                51.13          1.04        2.0741   -2   0   5         2
                51.28          1.01        2.0686    1   3   4         2
                52.58          1.62        2.0210    0   0   7         2
                52.75         15.00        2.0150   -1  -3   5         2
                52.90         12.44        2.0095    2   0   4         2
                53.01         13.41        2.0057   -1   3   5         2
                53.51          1.47        1.9886    2   2   3         2
                56.48          5.71        1.8917    1  -3   5         2
                56.62          5.97        1.8874   -2   0   6         2
                56.79          5.67        1.8823    1   3   5         2
                58.47          2.21        1.8329   -1  -3   6         2
                58.64          2.16        1.8279    2   0   5         2
                58.77          2.57        1.8244   -1   3   6         2
================================================================================
       XPOW Copyright 1993 Bob Downs, Ranjini Swaminathan and Kurt Bartelmehs
  For reference, see Downs et al. (1993) American Mineralogist 78, 1104-1107.
