      Clinotobermorite
      Merlino S, Bonaccorsi E, Armbruster T
      European Journal of Mineralogy 12 (2000) 411-429
      The real structure of clinotobermorite and tobermorite 9 A:
      OD character, polytypes, and structural relationships
      Sample: MDO1 data collected at Pisa
      _database_code_amcsd 0006832
      CELL PARAMETERS:  11.2760  7.3430 22.6420   90.000   97.280   90.000
      SPACE GROUP: Cc        
      X-RAY WAVELENGTH:     1.790290
      Cell Volume:   1859.637
      Density (g/cm3):      2.649
      MAX. ABS. INTENSITY / VOLUME**2:      5.441856497    
      RIR:      0.959
      RIR based on corundum from Acta Crystallographica A38 (1982) 733-739
               2-THETA      INTENSITY    D-SPACING   H   K   L   Multiplicity
                 9.14         87.88       11.2297    0   0   2         1
                16.77          4.50        6.1384    1   1   0         2
                17.08          3.56        6.0288   -1   1   1         2
                17.70          8.64        5.8192    1   1   1         2
                18.35          2.24        5.6149    0   0   4         1
                18.42          9.47        5.5926    2   0   0         1
                18.56          1.80        5.5512   -1   1   2         2
                19.52         12.82        5.2802   -2   0   2         1
                19.69         15.50        5.2352    1   1   2         2
                20.98          1.30        4.9174   -1   1   3         2
                21.63          4.09        4.7707    2   0   2         1
                22.48          4.80        4.5928    1   1   3         2
                25.82          1.72        4.0066    1   1   4         2
                27.61          2.12        3.7515   -1   1   5         2
                27.67          7.62        3.7432    0   0   6         1
                27.75         14.56        3.7329    2   0   4         1
                28.61          9.76        3.6234    0   2   1         2
                29.55          5.07        3.5105    1   1   5         2
                31.06          3.36        3.3437   -3   1   1         2
                31.24          9.17        3.3244    3   1   0         2
                31.37         30.74        3.3107   -2   0   6         1
                31.48          6.90        3.2995   -1   1   6         2
                31.51         13.29        3.2964    0   2   3         2
                32.12         12.66        3.2360    3   1   1         2
                33.55          3.56        3.1015    1   1   6         2
                33.63          4.95        3.0939    3   1   2         2
                33.91         45.78        3.0697   -2   2   1         2
                33.91          1.46        3.0692    2   2   0         2
                34.56          1.03        3.0138   -3   1   4         2
                34.57        100.00        3.0130    2   2   1         2
                35.41          8.69        2.9431    2   0   6         1
                35.60         16.25        2.9283   -1   1   7         2
                35.72          1.79        2.9185    3   1   3         2
                35.81         18.71        2.9118   -2   2   3         2
                36.71          3.53        2.8427    0   2   5         2
                37.19         12.60        2.8074    0   0   8         1
                37.32         30.00        2.7978   -4   0   2         1
                37.34          7.24        2.7963    4   0   0         1
                37.67          2.74        2.7729    2   2   3         2
                38.30          1.17        2.7286    3   1   4         2
                39.53         19.27        2.6471   -2   0   8         1
                39.64          9.47        2.6401   -4   0   4         1
                39.67          1.07        2.6380   -3   1   6         2
                39.70          1.26        2.6362    4   0   2         1
                39.91         11.22        2.6230   -1   1   8         2
                39.95          5.53        2.6204   -2   2   5         2
                41.30          4.97        2.5385    3   1   5         2
                42.75          1.77        2.4558    2   2   5         2
                42.84          1.97        2.4512   -3   1   7         2
                43.49         14.69        2.4160    0   2   7         2
                43.98         18.30        2.3905    2   0   8         1
                44.08          8.01        2.3853    4   0   4         1
                44.38          2.26        2.3700   -1   1   9         2
                44.64          2.46        2.3569    3   1   6         2
                45.83          1.22        2.2992   -2   2   7         2
                45.90          2.90        2.2958   -1   3   3         2
                46.98         14.60        2.2459    0   0  10         1
                47.52          1.13        2.2217   -1   3   4         2
                48.17          4.71        2.1936   -4   2   3         2
                48.20          1.45        2.1922    4   2   1         2
                48.29          1.19        2.1884    3   1   7         2
                49.34          2.64        2.1446    2   2   7         2
                49.95          1.41        2.1201   -4   0   8         1
                50.07          1.94        2.1154    4   0   6         1
                50.79          1.11        2.0874    1   3   5         2
                51.02         15.64        2.0786   -4   2   5         2
                51.09         15.60        2.0760    4   2   3         2
                51.41          7.28        2.0639    0   2   9         2
                51.42          1.16        2.0634    1   1  10         2
                51.89          1.26        2.0461    3   3   0         2
                53.01         13.19        2.0057   -2   2   9         2
                54.97          1.41        1.9397    3   3   3         2
                55.55          8.83        1.9211   -4   2   7         2
                55.64         11.63        1.9181    4   2   5         2
                57.08          8.42        1.8735    2   2   9         2
                58.04          1.18        1.8452   -1   3   8         2
                58.37         26.98        1.8357    0   4   0         2
                59.22          2.30        1.8117    0   4   2         2
                59.77          1.35        1.7965    1   3   8         2
================================================================================
       XPOW Copyright 1993 Bob Downs, Ranjini Swaminathan and Kurt Bartelmehs
  For reference, see Downs et al. (1993) American Mineralogist 78, 1104-1107.
