      Diopside
      Liang J, Hawthorne F C
      The Canadian Mineralogist 32 (1994) 541-552
      Characterization of fine-grained mixtures of rock-forming minerals by Rietveld
      structure refinement: olivine + pyroxene
      Sample: P7 - 70.0% olivine Rietveld
      _database_code_amcsd 0005392
      CELL PARAMETERS:   9.7493  8.9142  5.2564   90.000  105.893   90.000
      SPACE GROUP: C2/c      
      X-RAY WAVELENGTH:     1.790290
      Cell Volume:    439.357
      Density (g/cm3):      3.276
      MAX. ABS. INTENSITY / VOLUME**2:      7.823703468    
      RIR:      1.115
      RIR based on corundum from Acta Crystallographica A38 (1982) 733-739
               2-THETA      INTENSITY    D-SPACING   H   K   L   Multiplicity
                23.17          3.11        4.4571    0   2   0         2
                28.31          2.92        3.6603    1   1   1         4
                31.06         10.93        3.3433    0   2   1         4
                32.18         29.59        3.2303    2   2   0         4
                34.84        100.00        2.9900   -2   2   1         4
                35.33         31.76        2.9495    3   1   0         4
                36.04         38.65        2.8938   -3   1   1         4
                40.88         32.90        2.5632   -1   3   1         4
                41.38          1.57        2.5336   -2   0   2         2
                41.48         40.60        2.5277    0   0   2         2
                41.60          1.10        2.5209   -1   1   2         4
                41.70         44.73        2.5152    2   2   1         4
                44.02          1.65        2.3883    1   3   1         4
                45.77         18.03        2.3018    3   1   1         4
                47.64         11.49        2.2164    1   1   2         4
                48.05          8.70        2.1988    0   2   2         4
                49.12         10.10        2.1535    3   3   0         4
                49.66         19.51        2.1316   -3   3   1         4
                50.28         10.79        2.1071   -4   2   1         4
                51.12          1.04        2.0747    4   2   0         4
                52.08         21.61        2.0392    0   4   1         4
                52.72         11.54        2.0160   -4   0   2         2
                52.97          7.27        2.0072    2   0   2         2
                54.09          6.35        1.9686   -1   3   2         4
                57.57          1.14        1.8588    3   3   1         4
                58.39          6.75        1.8352    5   1   0         4
                58.56          5.49        1.8302    2   2   2         4
                59.17          3.90        1.8129    1   3   2         4
================================================================================
       XPOW Copyright 1993 Bob Downs, Ranjini Swaminathan and Kurt Bartelmehs
  For reference, see Downs et al. (1993) American Mineralogist 78, 1104-1107.
