      Graftonite
      Nord A G, Ericsson T
      American Mineralogist 67 (1982) 826-832
      The cation distribution in synthetic (Fe,Mn)3(PO4)2 graftonite-type solid
      solutions
      _database_code_amcsd 0000872
      CELL PARAMETERS:   8.8100 11.3700  6.1550   90.000   99.070   90.000
      SPACE GROUP: P2_1/c    
      X-RAY WAVELENGTH:     1.790290
      Cell Volume:    608.836
      Density (g/cm3):      3.885
      MAX. ABS. INTENSITY / VOLUME**2:      10.22829093    
      RIR:      1.229
      RIR based on corundum from Acta Crystallographica A38 (1982) 733-739
               2-THETA      INTENSITY    D-SPACING   H   K   L   Multiplicity
                11.81          3.95        8.6998    1   0   0         2
                14.89          1.53        6.9093    1   1   0         4
                21.16          2.01        4.8764   -1   1   1         4
                21.68          3.93        4.7590    1   2   0         4
                24.01          1.12        4.3041    1   1   1         4
                24.90          1.38        4.1519    0   2   1         4
                25.46          9.31        4.0627    2   1   0         4
                28.52         10.08        3.6339   -2   1   1         4
                28.80          1.47        3.5994    1   2   1         4
                29.86        100.00        3.4746    1   3   0         4
                30.03         14.51        3.4546    2   2   0         4
                32.32          5.01        3.2160    0   3   1         4
                32.82         11.09        3.1690    2   1   1         4
                33.55          9.60        3.1018   -1   3   1         4
                34.26         24.03        3.0390    0   0   2         2
                34.47         33.73        3.0211   -1   0   2         2
                35.48         44.93        2.9379    1   3   1         4
                35.50         11.31        2.9360    0   1   2         4
                35.71         29.43        2.9198   -1   1   2         4
                35.96         12.71        2.8999    3   0   0         2
                36.51         40.55        2.8575    2   3   0         4
                36.56         28.01        2.8538    2   2   1         4
                36.71         10.32        2.8425    0   4   0         2
                37.15          5.97        2.8100    3   1   0         4
                38.17          3.65        2.7378    1   0   2         2
                38.53         72.76        2.7134   -3   1   1         4
                38.70         17.15        2.7019    1   4   0         4
                38.74          2.44        2.6990   -2   0   2         2
                39.21          2.48        2.6678   -1   2   2         4
                39.30         22.77        2.6617    1   1   2         4
                39.86          7.45        2.6260   -2   1   2         4
                41.83          1.28        2.5076   -3   2   1         4
                42.56          1.55        2.4667    1   2   2         4
                43.08          8.21        2.4382   -2   2   2         4
                43.53         13.48        2.4140    3   1   1         4
                44.20          5.84        2.3795    2   4   0         4
                44.36          9.62        2.3709    0   3   2         4
                44.53          2.49        2.3624   -1   3   2         4
                45.74          3.06        2.3031    3   3   0         4
                46.11          6.27        2.2857   -3   0   2         2
                46.16          6.43        2.2836   -2   4   1         4
                46.28          1.56        2.2780    2   1   2         4
                46.54          6.01        2.2657    3   2   1         4
                46.91          3.56        2.2490   -3   3   1         4
                47.57          6.79        2.2193    1   3   2         4
                49.16          2.83        2.1521    2   2   2         4
                49.55          8.44        2.1362    4   1   0         4
                49.93          4.93        2.1207   -3   2   2         4
                50.57          3.02        2.0956   -1   5   1         4
                51.98          4.10        2.0428    1   5   1         4
                52.29          4.88        2.0314    4   2   0         4
                52.33          4.34        2.0300    3   4   0         4
                52.66          2.01        2.0180   -4   2   1         4
                52.74          1.43        2.0152    2   5   0         4
                53.70          1.28        1.9819    2   3   2         4
                54.43          5.71        1.9573   -3   3   2         4
                54.47          3.34        1.9560   -2   5   1         4
                54.65          5.02        1.9501    3   0   2         2
                55.26          8.76        1.9301   -2   1   3         4
                55.44          2.01        1.9243    4   1   1         4
                56.38          1.57        1.8950    0   6   0         2
                56.51          7.01        1.8908   -4   1   2         4
                56.66          1.99        1.8864    4   3   0         4
                57.01          1.89        1.8757   -4   3   1         4
                57.38          5.41        1.8646    3   4   1         4
                57.82          1.30        1.8517   -2   2   3         4
                57.82          1.22        1.8516    1   6   0         4
                58.06          2.51        1.8446    3   2   2         4
                58.90          3.09        1.8207    0   5   2         4
                59.04          3.42        1.8168   -1   5   2         4
                59.31         20.63        1.8091    0   6   1         4
                59.33          1.48        1.8088    1   2   3         4
                59.64          2.86        1.8002   -1   3   3         4
                59.65          1.59        1.7997    2   4   2         4
================================================================================
       XPOW Copyright 1993 Bob Downs, Ranjini Swaminathan and Kurt Bartelmehs
  For reference, see Downs et al. (1993) American Mineralogist 78, 1104-1107.
