      Hubeite
      Cooper M A, Hawthorne F C
      The Canadian Mineralogist 42 (2004) 825-834
      The crystal structure of hubeite, a novel sorosilicate mineral
      _database_code_amcsd 0005941
      CELL PARAMETERS:   9.9653 13.9171  6.5703  133.264  101.414   66.302
      SPACE GROUP: P-1       
      X-RAY WAVELENGTH:     1.790290
      Cell Volume:    603.478
      Density (g/cm3):      2.997
      MAX. ABS. INTENSITY / VOLUME**2:      6.896714370    
      RIR:      1.074
      RIR based on corundum from Acta Crystallographica A38 (1982) 733-739
               2-THETA      INTENSITY    D-SPACING   H   K   L   Multiplicity
                10.93          4.60        9.4029    0   1   0         2
                11.34        100.00        9.0631    1   0   0         2
                12.47         57.81        8.2395    1   1   0         2
                17.57          1.47        5.8618    0  -2   1         2
                17.59          2.03        5.8552   -1  -2   1         2
                18.50          4.81        5.5693   -1   1   0         2
                19.06          8.48        5.4071   -1  -1   1         2
                20.60         14.41        5.0059    1   2   0         2
                20.86          1.10        4.9440    1  -1   1         2
                21.27          4.68        4.8508    2   1   0         2
                21.72          7.16        4.7520    0   0   1         2
                21.95          3.64        4.7014    0   2   0         2
                22.32          3.03        4.6248   -1  -3   1         2
                23.34         10.14        4.4256    1   0   1         2
                25.10          1.08        4.1198    2   2   0         2
                25.73         11.73        4.0207   -1   0   1         2
                26.87          5.17        3.8526   -2  -1   1         2
                28.37          9.63        3.6533   -1   2   0         2
                28.86          9.60        3.5917   -2   1   0         2
                29.48          1.16        3.5183    2  -1   1         2
                29.74          3.05        3.4884    2   0   1         2
                30.04          6.03        3.4540    1   1   1         2
                30.40          7.72        3.4138    0   1   1         2
                30.61          1.50        3.3911   -1  -4   1         2
                32.49          1.34        3.1999    0  -3   2         2
                32.54         21.03        3.1950    2   3   0         2
                33.14          8.92        3.1384    0  -2   2         2
                33.19          3.59        3.1343    0   3   0         2
                33.23          4.17        3.1308    2  -2   1         2
                33.27         32.34        3.1268    3   2   0         2
                33.28          2.37        3.1258   -3  -2   1         2
                33.29          6.92        3.1247   -3  -3   1         2
                33.52         11.23        3.1041   -2   0   1         2
                33.62         28.08        3.0954   -1  -4   2         2
                33.92          8.32        3.0687    2   1   1         2
                34.05          4.75        3.0571   -1  -2   2         2
                34.47          3.16        3.0210    3   0   0         2
                34.89         10.08        2.9863   -1   1   1         2
                35.41         13.02        2.9433   -2  -3   2         2
                35.57         12.29        2.9309    0  -4   2         2
                35.61          2.82        2.9276   -2  -4   2         2
                36.19         16.82        2.8818    1  -2   2         2
                36.95          4.48        2.8251    1  -3   2         2
                37.36          9.79        2.7949    0  -1   2         2
                37.50         46.16        2.7847   -2   2   0         2
                38.04         33.18        2.7465    3   3   0         2
                38.67          3.26        2.7036   -2  -2   2         2
                38.70         23.56        2.7019   -1  -5   2         2
                39.02          3.54        2.6802    1   2   1         2
                39.17          3.23        2.6704   -1   3   0         2
                39.21          4.95        2.6675   -2  -5   2         2
                39.46          4.24        2.6514   -1  -1   2         2
                39.98          5.91        2.6183    2  -3   1         2
                40.17         10.21        2.6069   -3   1   0         2
                40.56          2.24        2.5824    0   2   1         2
                40.97          3.56        2.5580    2   2   1         2
                41.04          1.23        2.5538   -3  -4   2         2
                41.66          3.64        2.5175    0  -5   2         2
                41.70          1.93        2.5148    1   4   0         2
                41.91          3.84        2.5029    2   4   0         2
                42.08          6.49        2.4934   -3  -3   2         2
                42.46          7.81        2.4720    2  -2   2         2
                43.67          1.22        2.4069    2  -1   2         2
                43.98          4.13        2.3905    3  -2   1         2
                44.04          1.16        2.3873   -4  -2   1         2
                44.11          1.01        2.3837    0  -5   1         2
                44.26          6.41        2.3760    0   0   2         2
                44.28          1.54        2.3750    2  -3   2         2
                44.73          3.75        2.3523   -4  -4   1         2
                45.35          2.26        2.3220    3   4   0         2
                46.03          3.91        2.2894    3   2   1         2
                46.06          2.03        2.2883   -3  -2   2         2
                46.13          2.26        2.2850    4   3   0         2
                46.54          1.27        2.2658    4   0   0         2
                48.11          8.60        2.1961   -3   2   0         2
                48.97          1.30        2.1600   -4  -4   2         2
                49.90          2.87        2.1220    2   3   1         2
                50.99          1.00        2.0796    3  -2   2         2
                51.51          2.31        2.0599    4   4   0         2
                52.45          2.06        2.0255   -3  -1   2         2
                52.54         13.62        2.0225   -2   2   1         2
                53.31          5.24        1.9954    1   5   0         2
                53.32         16.42        1.9949    3   3   1         2
                55.65         12.67        1.9178    5   1   0         2
                55.70          1.02        1.9163    4  -2   1         2
                55.71          1.09        1.9159    2  -5   2         2
                56.85          2.24        1.8806    0   5   0         2
                58.87          1.30        1.8214    2  -5   1         2
                59.19          4.99        1.8126    5   0   0         2
================================================================================
       XPOW Copyright 1993 Bob Downs, Ranjini Swaminathan and Kurt Bartelmehs
  For reference, see Downs et al. (1993) American Mineralogist 78, 1104-1107.
