      Hydroxylclinohumite
      Berry A J, James M
      American Mineralogist 86 (2001) 181-184
      Refinement of hydrogen positions in synthetic hydroxyl-clinohumite
      by powder neutron diffraction
      _database_code_amcsd 0002626
      CELL PARAMETERS:   4.7488 10.2875 13.6967  100.630   90.000   90.000
      SPACE GROUP: P2_1/b    
      X-RAY WAVELENGTH:     1.790290
      Cell Volume:    657.646
      Density (g/cm3):      3.136
      MAX. ABS. INTENSITY / VOLUME**2:      2.045950060    
      RIR:      0.305
      RIR based on corundum from Acta Crystallographica A38 (1982) 733-739
               2-THETA      INTENSITY    D-SPACING   H   K   L   Multiplicity
                 7.63         10.85       13.4616    0   0   1         2
                15.29          7.27        6.7308    0   0   2         2
                20.40          3.79        5.0555    0   2   0         2
                20.42         55.25        5.0492    0  -2   1         2
                23.01          8.02        4.4872    0   0   3         2
                23.11         11.07        4.4692    0   2   1         2
                23.18         26.15        4.4562    0  -2   2         2
                24.67          5.47        4.1910    1  -1   1         4
                25.83          2.24        4.0047    1   1   1         4
                26.68         39.83        3.8803    1   0   2         4
                27.80         53.46        3.7257    0   2   2         2
                27.90         39.44        3.7132    0  -2   3         2
                29.63         35.21        3.5003    1   1   2         4
                29.98         25.44        3.4613    1   2   0         4
                29.99         10.35        3.4592    1  -2   1         4
                30.85         24.57        3.3654    0   0   4         2
                31.86          7.73        3.2615    1   0   3         4
                31.93          7.38        3.2546    1   2   1         4
                32.15         31.94        3.2332    1  -1   3         4
                34.85          3.94        2.9891    1   1   3         4
                35.56          1.71        2.9312    1   2   2         4
                35.64         10.01        2.9251    1  -2   3         4
                37.62         90.19        2.7760    1  -3   1         4
                37.89         36.14        2.7568    1  -1   4         4
                38.01         38.23        2.7485    1   3   0         4
                38.05          2.16        2.7458    1   0   4         4
                38.84         13.40        2.6923    0   0   5         2
                38.87          1.09        2.6901    1  -3   2         4
                40.01         45.08        2.6169    1   3   1         4
                40.44          1.33        2.5897    0   2   4         2
                40.57          1.01        2.5822    0  -2   5         2
                41.03        100.00        2.5544    1   1   4         4
                41.64         99.21        2.5186    1  -3   3         4
                43.41         47.80        2.4203    1   3   2         4
                43.70         16.37        2.4052    0   4   1         2
                43.80         12.31        2.3998    0  -4   3         2
                44.45         75.31        2.3667    1  -1   5         4
                45.57         21.41        2.3115    2   1   0         4
                46.37         60.46        2.2736    1   2   4         4
                46.48         63.88        2.2685    1  -2   5         4
                46.63         74.06        2.2615    1  -4   1         4
                47.38          2.76        2.2281    0  -4   4         2
                47.67          8.53        2.2151    2  -1   2         4
                47.90          7.15        2.2052    1   1   5         4
                48.00          9.62        2.2009    1   3   3         4
                49.00         19.71        2.1584    2   1   2         4
                50.69          8.75        2.0911    2  -1   3         4
                50.81          2.97        2.0866    1  -3   5         4
                51.61          2.17        2.0562    1  -1   6         4
                51.87          1.68        2.0468    0   4   3         2
                52.05          5.36        2.0402    0  -4   5         2
                54.63          7.24        1.9507    2  -3   1         4
                54.92          1.11        1.9411    2   3   0         4
                55.33          2.86        1.9279    1   1   6         4
                56.64          9.77        1.8870    1  -5   1         4
                56.97          2.52        1.8769    1  -5   2         4
                58.49          3.94        1.8322    1  -5   3         4
                59.31          6.65        1.8091    1  -1   7         4
                59.57          6.28        1.8020    1   5   1         4
================================================================================
       XPOW Copyright 1993 Bob Downs, Ranjini Swaminathan and Kurt Bartelmehs
  For reference, see Downs et al. (1993) American Mineralogist 78, 1104-1107.
