      Imandrite
      Chernitsova N M, Pudovkina Z V, Voronkov A A, Ilyukhin V V, Pyatenko Y A
      Doklady Akademii Nauk SSSR 252 (1980) 618-621
      Imandrite Na12Ca3Fe2[Si6O18]2 - a representative of
      a new branch in the lovozerite structural family
      _database_code_amcsd 0012468
      CELL PARAMETERS:  10.3310 10.5460  7.4260   90.000   90.000   90.000
      SPACE GROUP: Pmnn      
      X-RAY WAVELENGTH:     1.790290
      Cell Volume:    809.068
      Density (g/cm3):      2.916
      MAX. ABS. INTENSITY / VOLUME**2:      9.740265615    
      RIR:      1.559
      RIR based on corundum from Acta Crystallographica A38 (1982) 733-739
               2-THETA      INTENSITY    D-SPACING   H   K   L   Multiplicity
                13.93          8.99        7.3800    1   1   0         4
                16.96          6.10        6.0717    0   1   1         4
                17.07          2.76        6.0299    1   0   1         4
                19.55          3.00        5.2730    0   2   0         2
                19.69          2.17        5.2346    1   1   1         8
                24.03          8.01        4.2994    0   2   1         4
                26.07          1.12        3.9694    1   2   1         8
                26.30         25.21        3.9344    2   1   1         8
                27.90         10.34        3.7130    0   0   2         2
                28.08         19.14        3.6900    2   2   0         4
                31.21          7.61        3.3279    1   3   0         4
                31.31         23.95        3.3169    1   1   2         8
                31.43          1.03        3.3045    2   2   1         8
                31.74         15.63        3.2736    3   1   0         4
                34.54          1.41        3.0149    2   0   2         4
                34.78          2.87        2.9954    3   1   1         8
                35.80          1.41        2.9127    1   2   2         8
                38.63         17.81        2.7063    2   3   1         8
                39.70         25.26        2.6365    0   4   0         2
                40.00        100.00        2.6173    2   2   2         8
                40.56         25.11        2.5828    4   0   0         2
                42.35          1.32        2.4782    1   3   2         8
                44.84          1.75        2.3468    1   1   3         8
                45.08          1.15        2.3352    3   3   1         8
                45.40          1.55        2.3195    4   2   0         4
                46.29          1.49        2.2773    3   2   2         8
                47.09          2.14        2.2407    0   2   3         4
                47.13          1.06        2.2390    2   4   1         8
                47.70          1.05        2.2140    4   2   1         8
                49.22          3.74        2.1497    0   4   2         4
                49.95          6.35        2.1202    4   0   2         4
                51.34          2.49        2.0666    1   5   0         4
                51.63          2.02        2.0556    2   2   3         8
                53.44          1.55        1.9909    1   5   1         8
                53.92          1.03        1.9744    3   1   3         8
                54.14          1.75        1.9672    4   2   2         8
                56.59          1.00        1.8885    2   5   1         8
                56.93          1.98        1.8781    3   2   3         8
                57.65         15.34        1.8565    0   0   4         2
                58.05         30.70        1.8450    4   4   0         4
                59.44          3.14        1.8057    1   5   2         8
================================================================================
       XPOW Copyright 1993 Bob Downs, Ranjini Swaminathan and Kurt Bartelmehs
  For reference, see Downs et al. (1993) American Mineralogist 78, 1104-1107.
