      Kaolinite
      Gruner W
      Zeitschrift fur Kristallographie 83 (1932) 75-88
      The Crystal Structure of Kaolinite
      _cod_database_code 1011045
      _database_code_amcsd 0017947
      CELL PARAMETERS:   5.1480  8.9200 14.5350   90.000  100.200   90.000
      SPACE GROUP: Cc        
      X-RAY WAVELENGTH:     1.790290
      Cell Volume:    656.901
      Density (g/cm3):      2.569
      MAX. ABS. INTENSITY / VOLUME**2:      6.268662193    
      RIR:      1.139
      RIR based on corundum from Acta Crystallographica A38 (1982) 733-739
               2-THETA      INTENSITY    D-SPACING   H   K   L   Multiplicity
                14.38        100.00        7.1526    0   0   2         1
                23.45         19.51        4.4055    1   1   0         2
                23.45         28.08        4.4055   -1   1   1         2
                24.27         25.09        4.2579    0   2   1         2
                25.61         21.33        4.0391    1   1   1         2
                25.61         28.01        4.0391   -1   1   2         2
                27.36         25.96        3.7845    0   2   2         2
                28.99         55.12        3.5763    0   0   4         1
                29.49          6.09        3.5171    1   1   2         2
                29.49         13.69        3.5171   -1   1   3         2
                31.90         10.27        3.2573    0   2   3         2
                34.57          7.62        3.0129    1   1   3         2
                37.43          3.44        2.7901    0   2   4         2
                40.46          7.46        2.5884    1   1   4         2
                40.46          4.22        2.5884   -1   1   5         2
                40.86          8.53        2.5644    1   3   0         2
                41.38          8.67        2.5333    2   0   0         1
                41.38         11.64        2.5333   -2   0   2         1
                42.21         19.72        2.4857   -1   3   2         2
                43.64          2.98        2.4082    0   2   5         2
                44.10          9.84        2.3842    0   0   6         1
                44.82         64.49        2.3480    1   3   2         2
                46.56          1.83        2.2651    2   0   2         1
                46.56         27.75        2.2651   -2   0   4         1
                46.96          2.12        2.2467    1   1   5         2
                46.96          4.59        2.2466   -1   1   6         2
                47.33          1.43        2.2300    0   4   0         2
                47.95          1.00        2.2028    2   2   0         2
                47.95          3.04        2.2028   -2   2   2         2
                48.52          1.78        2.1785   -1   3   4         2
                49.74          1.10        2.1284    2   2   1         2
                50.39          1.46        2.1026    0   2   6         2
                52.61          1.29        2.0200    0   4   3         2
                52.62          2.76        2.0195    2   2   2         2
                53.15         13.95        2.0008    1   3   4         2
                53.95          1.14        1.9735   -1   1   7         2
                55.78          3.33        1.9136    2   0   4         1
                55.78          6.00        1.9136   -2   0   6         1
                56.47          2.79        1.8923    0   4   4         2
                56.48          1.58        1.8919    2   2   3         2
                56.48          1.33        1.8919   -2   2   5         2
                58.58          3.89        1.8298   -1   3   6         2
================================================================================
       XPOW Copyright 1993 Bob Downs, Ranjini Swaminathan and Kurt Bartelmehs
  For reference, see Downs et al. (1993) American Mineralogist 78, 1104-1107.
