      Kupletskite
      Piilonen P C, McDonald A M, Lalonde A E
      The Canadian Mineralogist 41 (2003) 27-54
      Insights into astrophyllite-group minerals II: Crystal chemistry
      Note: sample NOR17, alkali granite
      Locality: Gjerdingen intrusion, Norway
      _database_code_amcsd 0005804
      CELL PARAMETERS:   5.3784 11.9085 11.7236  112.964   94.697  103.112
      SPACE GROUP: P-1       
      X-RAY WAVELENGTH:     1.790290
      Cell Volume:    661.081
      Density (g/cm3):      3.150
      MAX. ABS. INTENSITY / VOLUME**2:      20.40101538    
      RIR:      3.023
      RIR based on corundum from Acta Crystallographica A38 (1982) 733-739
               2-THETA      INTENSITY    D-SPACING   H   K   L   Multiplicity
                 9.69        100.00       10.5978    0   0   1         2
                 9.76         17.15       10.5197    0   1   0         2
                10.47          6.36        9.8124    0  -1   1         2
                17.82          4.61        5.7792    0  -2   1         2
                23.48          3.99        4.4001   -1  -1   1         2
                23.81          1.92        4.3395   -1   2   0         2
                23.94          2.38        4.3159    1   0   1         2
                23.98          3.39        4.3084    1  -2   1         2
                25.37          3.14        4.0771    0   2   1         2
                26.91          1.76        3.8470    0  -3   1         2
                27.43          1.76        3.7758   -1   2   1         2
                27.57          2.27        3.7563    1  -1   2         2
                27.59          2.79        3.7542    0  -2   3         2
                27.88          3.56        3.7153    1  -2   2         2
                28.03          2.44        3.6962   -1   1   2         2
                29.36         22.26        3.5326    0   0   3         2
                29.46          6.13        3.5201    1   1   1         2
                29.58          1.16        3.5066    0   3   0         2
                31.83          6.60        3.2647   -1  -1   3         2
                33.22          1.56        3.1315    0   2   2         2
                33.72          5.02        3.0862   -1   2   2         2
                34.35          3.89        3.0313    1  -2   3         2
                34.84          2.21        2.9903    0   1   3         2
                36.27          2.56        2.8757    1  -3   3         2
                36.33          1.25        2.8715    0  -1   4         2
                36.43          1.78        2.8637    1   1   2         2
                37.02          1.77        2.8195    1   2   1         2
                37.61         11.48        2.7769   -1  -3   1         2
                37.63         12.58        2.7755    1  -4   2         2
                39.42         11.10        2.6543   -2   1   1         2
                39.49          7.78        2.6495    0   0   4         2
                40.42          1.90        2.5911   -1  -2   4         2
                40.63         13.47        2.5784    1   3   0         2
                40.72         12.86        2.5727    1  -4   3         2
                41.25          1.27        2.5412   -1   3   2         2
                42.27         10.65        2.4826   -2   1   2         2
                43.70          3.24        2.4054   -1   4   1         2
                43.89          3.15        2.3950   -1  -3   4         2
                45.65          1.70        2.3074    2  -1   2         2
                45.80          4.61        2.3005    1   3   1         2
                45.95          4.19        2.2931    1  -4   4         2
                47.24          5.72        2.2339   -2   1   3         2
                49.96          1.68        2.1196    0   0   5         2
                49.99          2.36        2.1186   -1   4   2         2
                50.23          2.22        2.1090   -1  -3   5         2
                51.87          3.59        2.0467    2  -1   3         2
                52.64          1.60        2.0191    1   3   2         2
                52.84          1.63        2.0119    1  -4   5         2
================================================================================
       XPOW Copyright 1993 Bob Downs, Ranjini Swaminathan and Kurt Bartelmehs
  For reference, see Downs et al. (1993) American Mineralogist 78, 1104-1107.
