      Lawsonite
      Liebscher A, Dorsam G, Franz G, Wunder B, Gottschalk M
      American Mineralogist 95 (2010) 724-735
      Crystal chemistry of synthetic lawsonite solid-solution series CaAl2
      [(OH)2/(Si2O7)](H2O)-SrAl2[(OH)2/(Si2O7)](H2O) and the Cmcm-P2_1/m phase transition
      Note: Run #AU82
      Locality: synthetic
      _database_code_amcsd 0018939
      CELL PARAMETERS:   5.3640 13.2175  5.8452   90.000  124.250   90.000
      SPACE GROUP: P2_1/m    
      X-RAY WAVELENGTH:     1.790290
      Cell Volume:    342.553
      Density (g/cm3):      3.275
      MAX. ABS. INTENSITY / VOLUME**2:      4.229068509    
      RIR:      0.603
      RIR based on corundum from Acta Crystallographica A38 (1982) 733-739
               2-THETA      INTENSITY    D-SPACING   H   K   L   Multiplicity
                15.57          3.16        6.6087    0   2   0         2
                20.93         15.91        4.9290   -1   0   1         2
                21.35         28.34        4.8316    0   0   1         2
                22.35         32.20        4.6183   -1   1   1         4
                22.75         35.48        4.5379    0   1   1         4
                23.29          4.97        4.4338    1   0   0         2
                24.59         53.23        4.2036    1   1   0         4
                26.19         13.78        3.9511   -1   2   1         4
                26.54          4.34        3.9004    0   2   1         4
                28.14         36.31        3.6820    1   2   0         4
                31.44          7.19        3.3044    0   4   0         2
                31.63         30.95        3.2848   -1   3   1         4
                31.92         21.09        3.2555    0   3   1         4
                33.29          2.82        3.1252    1   3   0         4
                35.68         39.53        2.9219   -1   0   2         2
                36.57          1.05        2.8530   -1   1   2         4
                38.07         73.22        2.7447   -1   4   1         4
                38.32         50.05        2.7275    0   4   1         4
                39.14         78.97        2.6724   -1   2   2         4
                39.31         48.41        2.6610   -2   0   1         2
                39.49        100.00        2.6495    1   4   0         4
                40.04         55.33        2.6149    1   0   1         2
                40.14          7.75        2.6087   -2   1   1         4
                40.85          2.61        2.5652    1   1   1         4
                42.52         36.19        2.4684   -2   2   1         4
                42.60         18.08        2.4645   -2   0   2         2
                43.20         36.04        2.4315    1   2   1         4
                43.50          4.81        2.4158    0   0   2         2
                44.26          5.88        2.3764    0   1   2         4
                45.19          7.47        2.3296   -1   5   1         4
                45.41          8.85        2.3191    0   5   1         4
                45.62          4.51        2.3091   -2   2   2         4
                46.44         14.49        2.2706    1   5   0         4
                46.47         22.31        2.2690    0   2   2         4
                47.63          3.55        2.2169    2   0   0         2
                47.95         16.13        2.2029    0   6   0         2
                48.28          5.24        2.1889   -1   4   2         4
                48.34          3.47        2.1864    2   1   0         4
                49.19         49.54        2.1509   -2   3   2         4
                50.00         38.04        2.1183    0   3   2         4
                50.41          3.32        2.1018    2   2   0         4
                51.18          5.69        2.0725   -2   4   1         4
                51.77          6.07        2.0505    1   4   1         4
                52.86          4.30        2.0112   -1   6   1         4
                53.05          1.12        2.0044    0   6   1         4
                53.75         30.05        1.9803    2   3   0         4
                54.65          2.17        1.9502    0   4   2         4
================================================================================
       XPOW Copyright 1993 Bob Downs, Ranjini Swaminathan and Kurt Bartelmehs
  For reference, see Downs et al. (1993) American Mineralogist 78, 1104-1107.
