      Mitridatite
      Moore P B, Araki T
      Inorganic Chemistry 16 (1977) 1096-1106
      Mitridatite, Ca6(H2O)6[FeIII9O6(PO4)9]*3H2O.
      A noteworthy octahedral sheet structure
      Locality: White Elephant pegmatite, Custer, South Dakota, USA
      _database_code_amcsd 0012683
      CELL PARAMETERS:  17.5530 19.3540 11.2480   90.000   95.840   90.000
      SPACE GROUP: Aa        
      X-RAY WAVELENGTH:     1.790290
      Cell Volume:   3801.347
      Density (g/cm3):      3.277
      MAX. ABS. INTENSITY / VOLUME**2:      16.76901333    
      RIR:      2.389
      RIR based on corundum from Acta Crystallographica A38 (1982) 733-739
               2-THETA      INTENSITY    D-SPACING   H   K   L   Multiplicity
                11.77        100.00        8.7309    2   0   0         1
                18.41         13.15        5.5948    0   0   2         1
                18.43         20.46        5.5890    0   3   1         2
                19.07          4.24        5.4033   -1   3   1         2
                19.65          3.23        5.2461    1   3   1         2
                23.66         12.26        4.3655    4   0   0         1
                24.99          2.45        4.1378   -3   3   1         2
                25.11          1.25        4.1182   -4   1   1         2
                26.00          1.06        3.9793    4   2   0         2
                26.85          1.42        3.8548    4   1   1         2
                29.39          2.38        3.5285   -4   3   1         2
                30.58          1.01        3.3949   -4   2   2         2
                31.50          1.23        3.2979    2   4   2         2
                32.19          8.46        3.2290    0   3   3         2
                32.22          4.60        3.2264   -1   3   3         2
                32.78          3.97        3.1720    1   6   0         2
                33.08          1.12        3.1447   -3   5   1         2
                34.11          3.77        3.0518    3   5   1         2
                34.35          1.46        3.0318   -5   3   1         2
                34.61          2.26        3.0093    3   4   2         2
                35.27          4.21        2.9549   -4   1   3         2
                35.39          4.86        2.9453    2   3   3         2
                35.51          2.59        2.9355   -3   3   3         2
                35.83         19.68        2.9103    6   0   0         1
                37.00         11.33        2.8214    3   6   0         2
                37.32          4.46        2.7974    0   0   4         1
                37.55         11.68        2.7815   -1   6   2         2
                38.04         15.16        2.7464   -2   0   4         1
                38.17         28.94        2.7377    1   6   2         2
                38.37          5.69        2.7237    3   3   3         2
                38.53          7.45        2.7128   -4   3   3         2
                38.70          1.77        2.7016   -2   6   2         2
                39.69          5.04        2.6368   -6   3   1         2
                40.46         10.99        2.5886    2   0   4         1
                40.76         17.08        2.5707   -3   6   2         2
                41.95          1.71        2.5007    2   2   4         2
                42.31          3.52        2.4806    6   0   2         1
                42.45          1.60        2.4724   -4   0   4         1
                42.48          2.05        2.4707    3   6   2         2
                42.67          1.34        2.4604   -3   7   1         2
                45.34          1.80        2.3223   -7   3   1         2
                46.60          1.45        2.2632   -6   3   3         2
                47.49          2.03        2.2231    0   1   5         2
                47.55          1.95        2.2203   -1   7   3         2
                47.70          2.72        2.2140   -1   8   2         2
                48.42         11.96        2.1827    8   0   0         1
                49.71          1.78        2.1298    5   6   2         2
                50.01          1.54        2.1176   -1   6   4         2
                50.10          1.84        2.1143    0   3   5         2
                50.43          2.48        2.1013   -1   9   1         2
                51.10          1.36        2.0753    1   3   5         2
                51.17          1.33        2.0729    6   3   3         2
                51.27          2.78        2.0691   -8   3   1         2
                54.15          1.33        1.9668    8   0   2         1
                55.53          3.57        1.9215    6   0   4         1
                55.90          7.55        1.9098   -7   6   2         2
================================================================================
       XPOW Copyright 1993 Bob Downs, Ranjini Swaminathan and Kurt Bartelmehs
  For reference, see Downs et al. (1993) American Mineralogist 78, 1104-1107.
