      Pargasite
      Oberti R, Vannucci R, Zanetti A, Tiepolo M, Brumm R C
      American Mineralogist 85 (2000) 407-419
      A Crystal Chemical re-evaluation of amphibole/melt and amphibole/clinopyroxene
      DTi values in petrogenetic studies
      Sample 4
      _database_code_amcsd 0002354
      CELL PARAMETERS:   9.8380 18.0250  5.3080   90.000  105.010   90.000
      SPACE GROUP: C2/m      
      X-RAY WAVELENGTH:     1.790290
      Cell Volume:    909.152
      Density (g/cm3):      3.546
      MAX. ABS. INTENSITY / VOLUME**2:      6.785601630    
      RIR:      0.893
      RIR based on corundum from Acta Crystallographica A38 (1982) 733-739
               2-THETA      INTENSITY    D-SPACING   H   K   L   Multiplicity
                11.40        100.00        9.0125    0   2   0         2
                12.23         16.65        8.4058    1   1   0         4
                20.11          8.52        5.1269    0   0   1         2
                21.03         11.89        4.9050   -1   1   1         4
                21.72         22.29        4.7512    2   0   0         2
                23.18         15.38        4.4563    0   2   1         4
                24.59         16.70        4.2029    2   2   0         4
                25.56          3.20        4.0462   -2   0   1         2
                25.93          6.42        3.9895    1   1   1         4
                26.63          2.47        3.8870   -1   3   1         4
                28.07         18.72        3.6913   -2   2   1         4
                30.67          1.64        3.3847    0   4   1         4
                30.70         58.80        3.3815    1   3   1         4
                30.80          6.31        3.3706    1   5   0         4
                31.78         61.83        3.2696    2   4   0         4
                33.35         44.25        3.1196    3   1   0         4
                33.49          6.04        3.1067    2   0   1         2
                34.36          1.81        3.0303   -3   1   1         4
                34.59          1.67        3.0107   -2   4   1         4
                35.49         50.54        2.9371    2   2   1         4
                37.26          7.80        2.8019    3   3   0         4
                38.18         25.70        2.7367   -3   3   1         4
                38.65         74.40        2.7047    1   5   1         4
                40.41         69.67        2.5920    0   6   1         4
                40.97          2.42        2.5578    2   4   1         4
                41.12         67.63        2.5487   -2   0   2         2
                41.28          1.68        2.5392    2   6   0         4
                42.57          3.00        2.4656    0   2   2         4
                42.81          4.76        2.4525   -2   2   2         4
                43.57          1.55        2.4120   -2   6   1         4
                43.68          1.89        2.4062   -4   0   1         2
                44.20          8.24        2.3795    3   5   0         4
                44.27          6.30        2.3756    4   0   0         2
                45.00         35.43        2.3391   -3   5   1         4
                45.29         25.41        2.3248   -4   2   1         4
                45.62          1.01        2.3088    1   1   2         4
                45.84         13.42        2.2984   -1   7   1         4
                45.87          1.15        2.2971    4   2   0         4
                46.08          7.98        2.2873   -3   1   2         4
                46.86          4.18        2.2512    3   3   1         4
                47.37          6.28        2.2282    0   4   2         4
                47.59         12.66        2.2184   -2   4   2         4
                48.97         36.69        2.1596    2   6   1         4
                49.14          3.71        2.1529   -3   3   2         4
                49.52          4.10        2.1372   -1   5   2         4
                50.42          3.79        2.1015    4   4   0         4
                51.44          1.18        2.0627    0   8   1         4
                51.90         23.07        2.0455    2   0   2         2
                52.17          2.16        2.0358    2   8   0         4
                52.52         17.33        2.0231   -4   0   2         2
                52.78         13.92        2.0139    3   5   1         4
                53.23          4.86        1.9980    3   7   0         4
                53.33          2.05        1.9947    2   2   2         4
                53.93          2.59        1.9740   -4   2   2         4
                54.06          1.75        1.9696    4   0   1         2
                54.36          7.15        1.9597    1   9   0         4
                54.88          4.59        1.9426   -3   5   2         4
                56.54          3.23        1.8900    5   1   0         4
                56.93          6.84        1.8781   -4   6   1         4
                57.40          9.85        1.8641   -1   9   1         4
                57.58          1.61        1.8587   -5   3   1         4
                57.94          4.44        1.8480   -1   7   2         4
                58.03          6.75        1.8456   -4   4   2         4
                59.21          3.21        1.8120    5   3   0         4
                59.55          1.28        1.8025    0  10   0         2
================================================================================
       XPOW Copyright 1993 Bob Downs, Ranjini Swaminathan and Kurt Bartelmehs
  For reference, see Downs et al. (1993) American Mineralogist 78, 1104-1107.
