      Phlogopite
      Brigatti M F, Poppi L
      European Journal of Mineralogy 5 (1993) 857-871
      Crystal chemistry of Ba-rich trioctahedral micas-1M
      Sample: 19
      _database_code_amcsd 0006495
      CELL PARAMETERS:   5.3310  9.2300 10.1600   90.000  100.190   90.000
      SPACE GROUP: C2/m      
      X-RAY WAVELENGTH:     1.790290
      Cell Volume:    492.039
      Density (g/cm3):      2.986
      MAX. ABS. INTENSITY / VOLUME**2:      8.719834504    
      RIR:      1.363
      RIR based on corundum from Acta Crystallographica A38 (1982) 733-739
               2-THETA      INTENSITY    D-SPACING   H   K   L   Multiplicity
                10.27        100.00        9.9997    0   0   1         2
                22.37         11.84        4.6150    0   2   0         2
                22.63         14.30        4.5614    1   1   0         4
                23.40          2.08        4.4143   -1   1   1         4
                24.67          2.55        4.1903    0   2   1         4
                26.34         16.81        3.9282    1   1   1         4
                28.30         31.21        3.6618   -1   1   2         4
                30.61         32.82        3.3912    0   2   2         4
                31.16         45.83        3.3332    0   0   3         2
                33.15         24.88        3.1380    1   1   2         4
                35.79         15.84        2.9131   -1   1   3         4
                38.69          8.84        2.7021    0   2   3         4
                39.42          1.74        2.6540    1   3   0         4
                39.89         51.65        2.6241   -1   3   1         4
                39.90         25.58        2.6235    2   0   0         2
                41.73          4.85        2.5134    1   1   3         4
                41.96          7.63        2.4999    0   0   4         2
                43.11         25.95        2.4363   -1   3   2         4
                43.15         13.09        2.4341    2   0   1         2
                44.78          1.89        2.3499   -1   1   4         4
                45.77          2.07        2.3017   -2   2   1         4
                46.22          4.27        2.2807    2   2   0         4
                46.55          4.53        2.2655   -2   0   3         2
                46.63          9.07        2.2619    1   3   2         4
                46.92          5.22        2.2484    0   4   1         4
                47.85          4.91        2.2071   -2   2   2         4
                48.65         19.81        2.1732   -1   3   3         4
                48.71          9.82        2.1705    2   0   2         2
                49.14          2.69        2.1530    2   2   1         4
                53.18          3.52        1.9999    0   0   5         2
                53.33          5.95        1.9946   -2   0   4         2
                53.43         11.55        1.9912    1   3   3         4
                55.99          3.68        1.9069   -1   3   4         4
                56.08          1.81        1.9043    2   0   3         2
================================================================================
       XPOW Copyright 1993 Bob Downs, Ranjini Swaminathan and Kurt Bartelmehs
  For reference, see Downs et al. (1993) American Mineralogist 78, 1104-1107.
