      Phlogopite
      Scordari F, Ventruti G, Sabato A, Bellatreccia F, Della Ventura G, Pedrazzi G
      European Journal of Mineralogy 18 (2006) 379-391
      Ti-rich phlogopite from Mt. Vulture (Potenza, Italy) investigated by a multianalytical,
      approach: substitutional mechanisms and orientation of the OH dipoles
      Locality: Cava St. Antonio, Mt. Vulture, Potenza, Italy
      Sample: SA1-52
      _database_code_amcsd 0007155
      CELL PARAMETERS:   5.3350  9.2420 10.2310   90.000  100.001   90.000
      SPACE GROUP: C2/m      
      X-RAY WAVELENGTH:     1.790290
      Cell Volume:    496.785
      Density (g/cm3):      2.964
      MAX. ABS. INTENSITY / VOLUME**2:      9.241899702    
      RIR:      1.456
      RIR based on corundum from Acta Crystallographica A38 (1982) 733-739
               2-THETA      INTENSITY    D-SPACING   H   K   L   Multiplicity
                10.19        100.00       10.0755    0   0   1         2
                22.34          6.30        4.6210    0   2   0         2
                22.60          8.32        4.5675    1   1   0         4
                23.38          1.87        4.4184   -1   1   1         4
                26.25          9.50        3.9422    1   1   1         4
                28.23         24.14        3.6708   -1   1   2         4
                30.48         32.18        3.4054    0   2   2         4
                30.92         34.81        3.3585    0   0   3         2
                32.96         30.34        3.1550    1   1   2         4
                35.64         20.41        2.9247   -1   1   3         4
                38.48         10.44        2.7168    0   2   3         4
                39.37          4.36        2.6575    1   3   0         4
                39.37          2.12        2.6571   -2   0   1         2
                39.84         45.33        2.6272   -1   3   1         4
                39.85         22.82        2.6270    2   0   0         2
                41.45          3.82        2.5296    1   1   3         4
                41.63          5.52        2.5189    0   0   4         2
                41.69          1.27        2.5157    1   3   1         4
                43.03         23.30        2.4407   -1   3   2         4
                43.03         11.73        2.4406    2   0   1         2
                45.59          1.55        2.3105    0   4   0         2
                45.74          3.03        2.3035   -2   2   1         4
                46.15          3.38        2.2837    2   2   0         4
                46.46          5.83        2.2697    1   3   2         4
                46.47          2.93        2.2692   -2   0   3         2
                46.84          3.39        2.2520    0   4   1         4
                47.81          3.05        2.2092   -2   2   2         4
                48.50         10.48        2.1793    2   0   2         2
                48.51         20.94        2.1792   -1   3   3         4
                49.01          2.20        2.1581    2   2   1         4
                50.46          1.20        2.1002    0   4   2         4
                52.75          5.30        2.0151    0   0   5         2
                53.17         10.56        2.0003    1   3   3         4
                53.18          5.32        1.9999   -2   0   4         2
                55.76          1.93        1.9141    2   0   3         2
                55.77          3.85        1.9140   -1   3   4         4
================================================================================
       XPOW Copyright 1993 Bob Downs, Ranjini Swaminathan and Kurt Bartelmehs
  For reference, see Downs et al. (1993) American Mineralogist 78, 1104-1107.
