      Phlogopite
      Scordari F, Schingaro E, Lacalamita M, Mesto E
      American Mineralogist 97 (2012) 430-439
      Crystal chemistry of trioctahedral micas-2M_1 from
      Bunyaruguru kamafugite (southwest Uganda)
      Note: BU3_6
      Locality: southwest Uganda
      _database_code_amcsd 0020822
      CELL PARAMETERS:   5.3252  9.2246 20.1908   90.000   95.086   90.000
      SPACE GROUP: C2/c      
      X-RAY WAVELENGTH:     1.790290
      Cell Volume:    987.924
      Density (g/cm3):      2.911
      MAX. ABS. INTENSITY / VOLUME**2:      6.990542967    
      RIR:      1.121
      RIR based on corundum from Acta Crystallographica A38 (1982) 733-739
               2-THETA      INTENSITY    D-SPACING   H   K   L   Multiplicity
                10.21        100.00       10.0557    0   0   2         2
                22.38          2.32        4.6123    0   2   0         2
                22.45         13.90        4.5983    1   1   0         4
                22.65          3.73        4.5594   -1   1   1         4
                22.97          6.26        4.4956    0   2   1         4
                25.44          4.30        4.0653    1   1   2         4
                26.29          3.64        3.9357   -1   1   3         4
                27.25         18.36        3.7998    0   2   3         4
                28.29          8.40        3.6629    1   1   3         4
                29.37         30.14        3.5310   -1   1   4         4
                30.54         10.50        3.3988    0   2   4         4
                30.98         42.97        3.3519    0   0   6         2
                31.77         31.59        3.2703    1   1   4         4
                33.02          9.38        3.1498   -1   1   5         4
                34.35         23.99        3.0315    0   2   5         4
                35.72          6.17        2.9184    1   1   5         4
                37.10         13.97        2.8135   -1   1   6         4
                38.55          3.31        2.7115    0   2   6         4
                39.44          7.54        2.6526   -1   3   1         4
                39.45          3.88        2.6521    2   0   0         2
                39.92         26.65        2.6224   -2   0   2         2
                39.92         53.28        2.6221    1   3   1         4
                40.04          6.36        2.6147    1   1   6         4
                41.52          1.19        2.5253   -1   1   7         4
                41.72          6.43        2.5139    0   0   8         2
                41.77          1.65        2.5112   -1   3   3         4
                43.07          2.19        2.4386    0   2   7         4
                43.11         15.48        2.4366   -2   0   4         2
                43.12         30.93        2.4358    1   3   3         4
                45.72          2.61        2.3043   -2   2   1         4
                45.83          1.16        2.2991    2   2   0         4
                46.00          3.28        2.2911    0   4   1         4
                46.24          1.13        2.2797   -2   2   2         4
                46.54          6.95        2.2657   -1   3   5         4
                46.56          4.08        2.2647    2   2   1         4
                46.57          3.39        2.2644    2   0   4         2
                46.94          1.59        2.2478    0   4   2         4
                47.38          4.14        2.2280   -2   2   3         4
                47.91          1.09        2.2048    2   2   2         4
                48.47          2.87        2.1807    0   4   3         4
                48.59         11.69        2.1758   -2   0   6         2
                48.61         23.18        2.1748    1   3   5         4
                49.82          1.52        2.1252    2   2   3         4
                52.86          7.42        2.0111    0   0  10         2
                53.27         12.46        1.9967   -1   3   7         4
                53.30          6.13        1.9955    2   0   6         2
                55.86          1.80        1.9111   -2   0   8         2
                55.89          3.52        1.9101    1   3   7         4
================================================================================
       XPOW Copyright 1993 Bob Downs, Ranjini Swaminathan and Kurt Bartelmehs
  For reference, see Downs et al. (1993) American Mineralogist 78, 1104-1107.
