      Staurolite
      Hawthorne F C, Ungaretti L, Oberti R, Caucia F, Callegari A
      The Canadian Mineralogist 31 (1993) 551-582
      The crystal chemistry of staurolite. I. Crystal structure and site populations
      Sample Code: MAR/2
      Locality: Ticino River, Italy
      _database_code_amcsd 0005334
      CELL PARAMETERS:   7.8639 16.6189  5.6589   90.000   90.169   90.000
      SPACE GROUP: C2/m      
      X-RAY WAVELENGTH:     1.790290
      Cell Volume:    739.555
      Density (g/cm3):      3.761
      MAX. ABS. INTENSITY / VOLUME**2:      2.896487071    
      RIR:      0.360
      RIR based on corundum from Acta Crystallographica A38 (1982) 733-739
               2-THETA      INTENSITY    D-SPACING   H   K   L   Multiplicity
                12.37         27.45        8.3095    0   2   0         2
                14.47         38.18        7.1082    1   1   0         4
                18.20          1.07        5.6589    0   0   1         2
                23.36          1.59        4.4215    1   1   1         4
                24.88         21.40        4.1547    0   4   0         2
                26.32          2.79        3.9319    2   0   0         2
                29.18         24.96        3.5541    2   2   0         4
                29.30          5.49        3.5388   -1   3   1         4
                29.35          8.13        3.5329    1   3   1         4
                32.14          5.48        3.2335   -2   0   1         2
                32.23          1.66        3.2245    2   0   1         2
                34.00         20.34        3.0615    1   5   0         4
                34.56         62.46        3.0134   -2   2   1         4
                34.65         81.16        3.0061    2   2   1         4
                36.53         14.17        2.8558    2   4   0         4
                36.89         36.52        2.8294    0   0   2         2
                37.71         61.50        2.7698    0   6   0         2
                38.81         79.14        2.6940   -1   5   1         4
                38.85         74.72        2.6914    1   5   1         4
                39.05         16.55        2.6784    0   2   2         4
                40.45          5.92        2.5893    3   1   0         4
                41.07         27.11        2.5517   -2   4   1         4
                41.15         33.65        2.5474    2   4   1         4
                43.77         98.07        2.4014   -1   3   2         4
                43.84         98.87        2.3978    1   3   2         4
                44.39         75.04        2.3694    3   3   0         4
                44.64         46.48        2.3571   -3   1   1         4
                44.74         40.46        2.3519    3   1   1         4
                45.01          2.23        2.3386    0   4   2         4
                45.81          9.16        2.2998   -2   0   2         2
                45.95          8.85        2.2934    2   0   2         2
                46.39          3.46        2.2728    1   7   0         4
                46.57         13.76        2.2644    2   6   0         4
                48.31          1.72        2.1876   -3   3   1         4
                48.40          1.20        2.1835    3   3   1         4
                50.21         27.78        2.1097   -1   7   1         4
                50.24         25.51        2.1084    1   7   1         4
                51.05          1.15        2.0774    0   8   0         2
                51.56          1.96        2.0582    3   5   0         4
                52.83          2.25        2.0121   -2   4   2         4
                52.95          1.56        2.0078    2   4   2         4
                53.78        100.00        1.9793    0   6   2         4
                54.17         50.48        1.9660    4   0   0         2
                55.09          1.58        1.9357   -3   5   1         4
                55.18          1.29        1.9328    3   5   1         4
================================================================================
       XPOW Copyright 1993 Bob Downs, Ranjini Swaminathan and Kurt Bartelmehs
  For reference, see Downs et al. (1993) American Mineralogist 78, 1104-1107.
