      Sursassite
      Nagashima M, Akasaka M, Minakawa T, Libowitzky E, Armbruster T
      American Mineralogist 94 (2009) 1440-1449
      Sursassite: hydrogen bonding, cation order, and pumpellyite intergrowth
      Locality: Gambatesa, Italy
      Sample Number: 7
      _database_code_amcsd 0004992
      CELL PARAMETERS:   8.7150  5.7981  9.7980   90.000  108.879   90.000
      SPACE GROUP: P2_1/m    
      X-RAY WAVELENGTH:     1.790290
      Cell Volume:    468.463
      Density (g/cm3):      3.552
      MAX. ABS. INTENSITY / VOLUME**2:      6.508787984    
      RIR:      0.855
      RIR based on corundum from Acta Crystallographica A38 (1982) 733-739
               2-THETA      INTENSITY    D-SPACING   H   K   L   Multiplicity
                11.08          1.98        9.2709    0   0   1         2
                21.72          1.85        4.7503   -1   0   2         2
                22.27          1.28        4.6355    0   0   2         2
                22.53         52.40        4.5824   -1   1   1         4
                23.91         18.09        4.3222   -2   0   1         2
                25.08          9.59        4.1231    2   0   0         2
                27.70         33.25        3.7397   -2   0   2         2
                28.20          5.35        3.6746   -1   1   2         4
                28.99          2.87        3.5766    1   0   2         2
                30.69          7.09        3.3828    2   0   1         2
                31.86          1.43        3.2612   -1   0   3         2
                33.10          4.52        3.1427   -2   1   2         4
                34.20          7.52        3.0440    1   1   2         4
                34.98          3.24        2.9782   -2   0   3         2
                35.68          4.75        2.9218    2   1   1         4
                35.91         19.32        2.9038   -3   0   1         2
                35.97         30.89        2.8990    0   2   0         2
                36.71        100.00        2.8425   -1   1   3         4
                37.37          6.20        2.7940   -3   0   2         2
                37.75          9.77        2.7669    0   2   1         4
                38.01          6.22        2.7487    3   0   0         2
                38.21          8.29        2.7350    1   2   0         4
                38.68          6.45        2.7031   -1   2   1         4
                39.02         35.67        2.6801    2   0   2         2
                39.50          4.50        2.6491   -2   1   3         4
                39.83          1.12        2.6278    1   0   3         2
                40.33         49.98        2.5964   -3   1   1         4
                41.10          4.61        2.5500    1   2   1         4
                41.67          2.24        2.5170   -3   1   2         4
                42.25          1.42        2.4838    3   1   0         4
                42.41          1.88        2.4746   -1   2   2         4
                42.71         34.95        2.4579    0   2   2         4
                43.18          5.18        2.4327    2   1   2         4
                43.65          7.97        2.4076   -2   2   1         4
                43.92         35.04        2.3935    1   1   3         4
                44.35          5.44        2.3715    2   2   0         4
                45.99         13.88        2.2912   -2   2   2         4
                46.01         18.93        2.2904   -3   1   3         4
                46.79          2.80        2.2545   -1   1   4         4
                47.09          4.92        2.2409    3   1   1         4
                47.99          3.86        2.2013    2   2   1         4
                48.80          1.03        2.1667   -1   2   3         4
                48.81         11.68        2.1664   -4   0   1         2
                48.94          3.47        2.1611   -4   0   2         2
                48.96         15.87        2.1600    2   0   3         2
                50.10         18.94        2.1143    0   2   3         4
                51.05         22.46        2.0773   -2   2   3         4
                51.47          5.36        2.0615    4   0   0         2
                51.74          6.30        2.0516   -3   2   1         4
                51.84          1.03        2.0480   -4   0   3         2
                52.35          4.24        2.0294   -4   1   1         4
                52.47          1.99        2.0250   -4   1   2         4
                52.49          2.13        2.0241    2   1   3         4
                52.79          4.66        2.0134   -3   1   4         4
                53.33          1.27        1.9947    3   2   0         4
                54.11         10.70        1.9680    2   2   2         4
                54.25          2.72        1.9633    3   1   2         4
                55.23          1.22        1.9310   -4   1   3         4
                56.63          4.12        1.8872    4   0   1         2
                56.81          1.43        1.8817    1   3   0         4
                57.16          4.30        1.8712   -1   3   1         4
                57.73          1.31        1.8542    0   0   5         2
                57.96          3.28        1.8474   -1   1   5         4
                58.32          1.93        1.8373   -2   2   4         4
                59.27         10.73        1.8103    0   2   4         4
                59.84          3.58        1.7945    4   1   1         4
================================================================================
       XPOW Copyright 1993 Bob Downs, Ranjini Swaminathan and Kurt Bartelmehs
  For reference, see Downs et al. (1993) American Mineralogist 78, 1104-1107.
