      Weddellite
      Izatulina A, Gurzhiy V, Frank-Kamenetskaya O
      American Mineralogist 99 (2014) 2-7
      Weddellite from renal stones: Structure refinement and dependence of
      crystal chemical features on H2O content.
      Note: Sample 7
      Locality: oxalic renal stones of St. Petersburg citizens aged 24-65 years
      _database_code_amcsd 0020077
      CELL PARAMETERS:  12.3565 12.3565  7.3592   90.000   90.000   90.000
      SPACE GROUP: I4/m      
      X-RAY WAVELENGTH:     1.790290
      Cell Volume:   1123.625
      Density (g/cm3):      1.996
      MAX. ABS. INTENSITY / VOLUME**2:      6.495726090    
      RIR:      1.519
      RIR based on corundum from Acta Crystallographica A38 (1982) 733-739
               2-THETA      INTENSITY    D-SPACING   H   K   L   Multiplicity
                11.76         10.00        8.7374    1   1   0         4
                16.28          2.74        6.3228    1   0   1         8
                16.66        100.00        6.1782    2   0   0         4
                23.37         32.02        4.4189    2   1   1         8
                23.65          1.56        4.3687    2   2   0         4
                26.49         11.31        3.9075    3   1   0         4
                28.16          8.23        3.6796    0   0   2         2
                28.84          1.72        3.5942    3   0   1         8
                30.61          2.12        3.3912    1   1   2         8
                32.90          3.83        3.1614    2   0   2         8
                33.49          1.20        3.1067    2   3   1         8
                33.69         13.36        3.0891    4   0   0         4
                37.09         14.29        2.8143    2   2   2         8
                37.63         85.81        2.7756    4   1   1         8
                37.81          2.03        2.7630    2   4   0         4
                43.36         11.24        2.4233    5   1   0         4
                43.68         11.99        2.4061    1   0   3         8
                44.46          2.33        2.3659    4   0   2         8
                44.93          3.97        2.3427    4   3   1         8
                44.93          2.55        2.3427    3   4   1         8
                46.16          1.66        2.2837    3   3   2         8
                47.06         25.77        2.2421    1   2   3         8
                47.80          7.54        2.2094    4   2   2         8
                47.80          1.23        2.2094    2   4   2         8
                49.97          9.68        2.1191    5   3   0         4
                49.97          4.18        2.1191    3   5   0         4
                52.50          6.71        2.0238    1   5   2         8
                53.33          3.42        1.9947    3   2   3         8
                54.40         10.75        1.9582    6   1   1         8
                54.40          4.13        1.9582    1   6   1         8
                54.54          1.76        1.9537    6   2   0         4
                54.54          1.41        1.9537    2   6   0         4
                56.27         11.57        1.8982    1   4   3         8
                56.27          6.51        1.8982    4   1   3         8
                58.23          1.27        1.8398    0   0   4         2
                58.35         13.52        1.8364    3   5   2         8
                58.35          1.70        1.8364    5   3   2         8
                59.75          1.40        1.7971    6   0   2         8
================================================================================
       XPOW Copyright 1993 Bob Downs, Ranjini Swaminathan and Kurt Bartelmehs
  For reference, see Downs et al. (1993) American Mineralogist 78, 1104-1107.
