      Whitlockite
      Tsirlin A A, Dikarev E V, Shpanchenko R V, Antipov E V
      Acta Crystallographica C62 (2006) i13-i15
      A new whitlockite, Ca8.42Na1.16V(PO4)7
      Locality: synthetic
      _database_code_amcsd 0010333
      CELL PARAMETERS:  10.3273 10.3273 37.0980   90.000   90.000  120.000
      SPACE GROUP: R3c       
      X-RAY WAVELENGTH:     1.790290
      Cell Volume:   3426.531
      Density (g/cm3):      3.140
      MAX. ABS. INTENSITY / VOLUME**2:      9.050925188    
      RIR:      1.346
      RIR based on corundum from Acta Crystallographica A38 (1982) 733-739
               2-THETA      INTENSITY    D-SPACING   H   K   L   Multiplicity
                12.76         24.75        8.0561    0   1   2         3
                15.98         38.18        6.4379    1   0   4         3
                16.65         11.49        6.1830    0   0   6         1
                19.97         22.79        5.1637    1   1   0         6
                23.77          2.31        4.3473    2   0   2         3
                25.12          3.02        4.1168    0   1   8         3
                25.68         18.49        4.0281    0   2   4         3
                26.11          1.73        3.9633    1   1   6         6
                30.29         18.95        3.4267    1   0  10         3
                30.84          3.31        3.3665    2   1   1         6
                31.23          3.59        3.3256    1   2   2         6
                32.27          3.35        3.2215    1   1   9         6
                32.74         48.40        3.1760    2   1   4         6
                34.95         11.82        2.9812    3   0   0         3
                36.54        100.00        2.8552    0   2  10         3
                38.26         23.45        2.7317    1   2   8         6
                38.94          4.53        2.6854    0   3   6         3
                38.94          3.28        2.6854    3   0   6         3
                39.45          5.67        2.6525    1   1  12         6
                40.57         66.58        2.5818    2   2   0         6
                41.26          3.09        2.5407    0   1  14         3
                41.49          4.96        2.5273    2   2   3         6
                41.99         11.18        2.4987    2   1  10         6
                42.41          2.84        2.4750    1   3   1         6
                43.87          1.54        2.3963    1   3   4         6
                44.04          1.97        2.3875    1   2  11         6
                44.14          9.40        2.3825    2   2   6         6
                44.73          4.33        2.3525    3   1   5         6
                46.24          1.18        2.2797    2   0  14         3
                47.01          6.93        2.2444    1   0  16         3
                47.32          2.46        2.2305    1   1  15         6
                48.47          1.08        2.1806    2   1  13         6
                48.64          8.64        2.1737    4   0   4         3
                49.31         10.54        2.1460    3   0  12         3
                50.84          4.07        2.0855    1   2  14         6
                51.46          3.85        2.0620    1   3  10         6
                51.48          2.67        2.0610    0   0  18         1
                51.82          2.15        2.0487    3   2   1         6
                52.07          5.31        2.0394    2   3   2         6
                52.78          8.48        2.0140    0   4   8         3
                53.08          5.20        2.0034    3   2   4         6
                53.71          6.47        1.9817    2   2  12         6
                54.60          1.12        1.9517    4   1   0         6
                55.33          1.56        1.9278    1   4   3         6
                55.74         21.27        1.9150    4   0  10         3
                56.99         11.62        1.8764    2   3   8         6
                57.50          7.69        1.8612    1   4   6         6
                57.50          5.72        1.8612    4   1   6         6
                59.06          4.33        1.8162    0   1  20         3
                59.25          1.19        1.8109    3   1  14         6
                59.81          4.97        1.7955    3   2  10         6
================================================================================
       XPOW Copyright 1993 Bob Downs, Ranjini Swaminathan and Kurt Bartelmehs
  For reference, see Downs et al. (1993) American Mineralogist 78, 1104-1107.
