      Winchite
      Ghose S, Kersten M, Langer K, Rossi G, Ungaretti L
      Physics and Chemistry of Minerals 13 (1986) 291-305
      Crystal field spectra and Jahn Teller effect of Mn3+
      in clinopyroxene and clinoamphiboles from India
      _database_code_amcsd 0007426
      CELL PARAMETERS:   9.7573 17.9026  5.2886   90.000  103.814   90.000
      SPACE GROUP: C2/m      
      X-RAY WAVELENGTH:     1.790290
      Cell Volume:    897.098
      Density (g/cm3):      3.118
      MAX. ABS. INTENSITY / VOLUME**2:      4.822031178    
      RIR:      0.722
      RIR based on corundum from Acta Crystallographica A38 (1982) 733-739
               2-THETA      INTENSITY    D-SPACING   H   K   L   Multiplicity
                11.48         25.55        8.9513    0   2   0         2
                12.27         69.45        8.3745    1   1   0         4
                20.08          5.03        5.1356    0   0   1         2
                20.42          2.74        5.0495    1   3   0         4
                21.23         23.55        4.8587   -1   1   1         4
                21.78          1.47        4.7375    2   0   0         2
                23.07         32.97        4.4756    0   4   0         2
                23.19         14.28        4.4546    0   2   1         4
                24.69          4.88        4.1872    2   2   0         4
                25.75          3.97        4.0165    1   1   1         4
                25.94          2.00        3.9891   -2   0   1         2
                26.86          6.52        3.8541   -1   3   1         4
                28.44          6.62        3.6437   -2   2   1         4
                30.61         78.22        3.3913    1   3   1         4
                31.00          3.49        3.3494    1   5   0         4
                31.94         29.09        3.2534    2   4   0         4
                33.45         62.14        3.1103    3   1   0         4
                34.84          2.32        2.9902   -3   1   1         4
                35.28         21.66        2.9543    2   2   1         4
                35.70          5.41        2.9205   -1   5   1         4
                37.41         25.60        2.7915    3   3   0         4
                38.67         31.87        2.7037   -3   3   1         4
                38.68        100.00        2.7030    1   5   1         4
                40.60         33.10        2.5799    0   6   1         4
                40.80          4.97        2.5678    0   0   2         2
                41.54         61.92        2.5241   -2   0   2         2
                42.53          1.32        2.4683    0   2   2         4
                43.24          2.02        2.4294   -2   2   2         4
                44.41          2.55        2.3686    3   5   0         4
                45.51         29.64        2.3142   -3   5   1         4
                45.85          8.78        2.2980   -4   2   1         4
                46.20         16.74        2.2814   -1   7   1         4
                46.65          2.73        2.2606    3   3   1         4
                46.71         18.32        2.2579   -3   1   2         4
                48.05          5.19        2.1986   -2   4   2         4
                48.65          5.24        2.1731    1   7   1         4
                48.98         30.50        2.1596    2   6   1         4
                49.78          9.89        2.1267   -3   3   2         4
                51.49         16.49        2.0608    2   0   2         2
                51.74          1.53        2.0515    0   8   1         4
                52.67         11.83        2.0178    3   5   1         4
                53.33          8.07        1.9945   -4   0   2         2
                53.53          2.33        1.9876    3   7   0         4
                54.36          2.66        1.9595    1   5   2         4
                54.75          4.52        1.9467    1   9   0         4
                55.20          4.32        1.9321    4   2   1         4
                55.55          1.27        1.9208   -3   5   2         4
                56.72          6.52        1.8845    5   1   0         4
                57.14          3.70        1.8719    2   4   2         4
                57.55          2.79        1.8595   -4   6   1         4
                57.85          6.55        1.8507   -1   9   1         4
                58.22          1.26        1.8399   -5   3   1         4
                58.86          2.70        1.8218   -4   4   2         4
                59.42          1.21        1.8061    5   3   0         4
                59.96          4.17        1.7914    1   9   1         4
================================================================================
       XPOW Copyright 1993 Bob Downs, Ranjini Swaminathan and Kurt Bartelmehs
  For reference, see Downs et al. (1993) American Mineralogist 78, 1104-1107.
