      Yegorovite
      Zubkova N V, Pekov I V, Pushcharovskii D Y, Kazantsev S S
      Doklady Earth Sciences 427 (2009) 814-818
      Crystal structure of yegorovite Na4[Si4O8(OH)4]*7H2O
      Locality: Lovozero alkaline complex, Kola Peninsula, Russia
      _database_code_amcsd 0012513
      CELL PARAMETERS:   9.8744 12.3981 14.8973   90.000  104.675   90.000
      SPACE GROUP: P2_1/c    
      X-RAY WAVELENGTH:     1.790290
      Cell Volume:   1764.289
      Density (g/cm3):      1.982
      MAX. ABS. INTENSITY / VOLUME**2:      2.431714160    
      RIR:      0.573
      RIR based on corundum from Acta Crystallographica A38 (1982) 733-739
               2-THETA      INTENSITY    D-SPACING   H   K   L   Multiplicity
                14.27         73.19        7.2057    0   0   2         2
                16.52         51.52        6.2299    0   1   2         4
                16.61         52.50        6.1990    0   2   0         2
                21.96         51.94        4.6993    0   2   2         4
                22.57          7.30        4.5740   -2   1   1         4
                22.83          1.00        4.5231   -1   2   2         4
                25.87         90.06        3.9994    2   1   1         4
                26.86          4.02        3.8543   -2   2   1         4
                27.72         82.19        3.7373   -2   1   3         4
                28.77          2.32        3.6028    0   0   4         2
                29.71          3.47        3.4914    2   2   1         4
                29.99          5.18        3.4597    0   1   4         4
                31.35          4.68        3.3129   -2   2   3         4
                32.17          4.47        3.2307   -3   0   2         2
                32.66          3.58        3.1841    3   0   0         2
                32.86         43.99        3.1648   -2   3   1         4
                33.19          2.14        3.1342   -1   3   3         4
                33.28          2.53        3.1263   -3   1   2         4
                33.40        100.00        3.1150    0   2   4         4
                33.57         28.26        3.0995    0   4   0         2
                35.27         30.61        2.9544    2   3   1         4
                35.46          4.72        2.9391    2   1   3         4
                36.41          5.16        2.8649   -3   2   2         4
                36.69         23.85        2.8439   -2   3   3         4
                36.73          2.68        2.8411    1   3   3         4
                36.85          2.53        2.8323    3   2   0         4
                37.88          5.38        2.7576   -3   0   4         2
                38.38          1.05        2.7230   -3   2   3         4
                38.44         21.47        2.7189    2   2   3         4
                38.49         14.73        2.7157    0   3   4         4
                39.13          1.68        2.6728    3   0   2         2
                39.38          2.27        2.6568    1   4   2         4
                39.91         17.85        2.6227   -2   4   1         4
                41.44          1.74        2.5299    1   1   5         4
                41.62          1.14        2.5195   -3   2   4         4
                41.98          1.69        2.4992    2   4   1         4
                42.14          2.19        2.4901    1   3   4         4
                42.67         51.42        2.4606   -4   0   2         2
                43.21         13.53        2.4312   -2   4   3         4
                43.76          3.06        2.4019    0   0   6         2
                43.80          2.05        2.4001    1   5   0         4
                43.95          1.87        2.3923   -1   5   1         4
                44.03         11.03        2.3881    4   0   0         2
                44.08          1.32        2.3853    1   2   5         4
                44.62         18.85        2.3580    0   1   6         4
                44.79          5.63        2.3497    0   4   4         4
                44.89          2.41        2.3447    0   5   2         4
                44.91          3.55        2.3434    1   5   1         4
                45.41          8.90        2.3190   -2   3   5         4
                47.20          2.44        2.2360   -4   1   4         4
                47.69          2.07        2.2144   -2   5   1         4
                47.91          1.32        2.2047   -3   0   6         2
                48.13         17.48        2.1952    2   1   5         4
                48.23          2.23        2.1911    1   3   5         4
                48.84          4.06        2.1650    2   4   3         4
                49.49          6.37        2.1386    2   5   1         4
                49.59          4.02        2.1343   -4   2   4         4
                50.10          1.70        2.1142   -4   3   2         4
                50.49          2.74        2.0987    2   2   5         4
                51.41          9.73        2.0640   -2   1   7         4
                51.98         10.73        2.0426    0   5   4         4
                53.18          8.50        1.9997    4   2   2         4
                53.57          3.24        1.9863    0   6   2         4
                53.66          2.50        1.9832   -2   2   7         4
                54.35          1.24        1.9598   -4   0   6         2
                55.09          3.07        1.9358   -4   1   6         4
                55.35         19.35        1.9272   -4   4   2         4
                55.65          1.87        1.9178    2   5   3         4
                55.88          1.16        1.9105    5   0   0         2
                56.05          1.25        1.9052   -2   6   1         4
                57.25          3.53        1.8685   -5   2   1         4
                57.64         14.10        1.8568   -2   5   5         4
                57.66          8.41        1.8563    2   6   1         4
                58.64          3.02        1.8279   -2   6   3         4
                59.27          4.25        1.8104    2   4   5         4
                59.92          8.83        1.7925    0   6   4         4
================================================================================
       XPOW Copyright 1993 Bob Downs, Ranjini Swaminathan and Kurt Bartelmehs
  For reference, see Downs et al. (1993) American Mineralogist 78, 1104-1107.
