      Zoisite
      Dorsam G, Liebscher A, Franz G, Gottschalk M
      American Mineralogist 92 (2007) 1133-1147
      Crystal chemistry of synthetic Ca2Al3Si3O12OH - Sr2Al3Si3O12OH
      solid solution series of zoisite and clinozoisite
      Locality: synthetic
      Sample: Run no. = Au42, X(Sr) = .37
      _database_code_amcsd 0004389
      CELL PARAMETERS:  16.2530  5.5630 10.1196   90.000   90.000   90.000
      SPACE GROUP: Pnma      
      X-RAY WAVELENGTH:     1.790290
      Cell Volume:    914.968
      Density (g/cm3):      3.560
      MAX. ABS. INTENSITY / VOLUME**2:      7.677011865    
      RIR:      1.007
      RIR based on corundum from Acta Crystallographica A38 (1982) 733-739
               2-THETA      INTENSITY    D-SPACING   H   K   L   Multiplicity
                11.96          6.83        8.5905    1   0   1         4
                20.38         16.05        5.0598    0   0   2         2
                21.16          5.85        4.8750    0   1   1         4
                21.36          3.94        4.8311    1   0   2         4
                21.60          3.88        4.7763    3   0   1         4
                22.10          4.16        4.6694    1   1   1         8
                24.06          2.96        4.2953    2   0   2         4
                24.73          4.06        4.1805    2   1   1         8
                25.45          6.23        4.0633    4   0   0         2
                27.47         11.11        3.7706    4   0   1         4
                28.02          3.66        3.6979    3   0   2         4
                28.41          3.40        3.6476    1   1   2         8
                28.60         27.22        3.6238    3   1   1         8
                31.45          1.51        3.3028    1   0   3         4
                31.66          2.57        3.2812    4   1   0         4
                32.82          5.58        3.1682    4   0   2         4
                33.33          4.44        3.1212    4   1   1         8
                33.40          2.75        3.1155    2   0   3         4
                33.62         13.31        3.0949    5   0   1         4
                33.80          4.68        3.0796    3   1   2         8
                36.16        100.00        2.8844    0   1   3         4
                36.74          9.30        2.8400    1   1   3         8
                37.55         37.65        2.7815    0   2   0         2
                38.21         37.64        2.7349    5   0   2         4
                38.45         17.90        2.7182    2   1   3         8
                38.59         15.16        2.7088    6   0   0         2
                38.66         64.82        2.7045    5   1   1         8
                39.77         18.48        2.6316    2   2   0         4
                40.01          2.84        2.6167    6   0   1         4
                41.15          1.91        2.5469    2   2   1         8
                41.17         17.24        2.5460    3   1   3         8
                41.44          4.69        2.5299    0   0   4         2
                41.97          3.96        2.4998    1   0   4         4
                42.78          1.43        2.4543    5   1   2         8
                43.09          6.33        2.4375    0   2   2         4
                43.13          1.16        2.4354    6   1   0         4
                43.50          4.35        2.4156    2   0   4         4
                43.60         13.62        2.4105    1   2   2         8
                44.03          1.74        2.3881    6   0   2         4
                44.43          3.64        2.3678    6   1   1         8
                44.74          7.52        2.3520    4   1   3         8
                45.09         11.25        2.3347    2   2   2         8
                46.23          2.81        2.2802    1   1   4         8
                46.60          3.00        2.2631    7   0   1         4
                47.14         10.54        2.2384    4   2   1         8
                47.49          6.83        2.2229    3   2   2         8
                49.27          1.53        2.1476    4   0   4         4
                49.76          6.33        2.1275    1   2   3         8
                49.97          2.29        2.1194    3   1   4         8
                50.15         10.31        2.1121    6   0   3         4
                51.12         19.30        2.0749    2   2   3         8
                51.28         14.84        2.0688    5   2   1         8
                52.29          9.68        2.0316    8   0   0         2
                53.08          4.68        2.0035    4   1   4         8
                53.28          7.36        1.9965    5   0   4         4
                53.41          3.56        1.9919    8   0   1         4
                53.96          3.16        1.9731    7   1   2         8
                54.23          3.69        1.9639    2   0   5         4
                54.65         14.19        1.9501    5   2   2         8
                55.95          5.52        1.9083    8   1   0         4
                56.69          3.13        1.8853    8   0   2         4
                56.90          2.05        1.8791    5   1   4         8
                57.02          1.12        1.8753    8   1   1         8
                57.15          1.58        1.8716    0   2   4         4
                57.56         14.24        1.8593    1   2   4         8
                57.81          3.78        1.8519    2   1   5         8
                58.79          2.71        1.8238    2   2   4         8
================================================================================
       XPOW Copyright 1993 Bob Downs, Ranjini Swaminathan and Kurt Bartelmehs
  For reference, see Downs et al. (1993) American Mineralogist 78, 1104-1107.
